line,loc,length,bug type,approach
507,504,10,Overflow-Underflow,code snippet injection
501,499,4,Overflow-Underflow,code snippet injection
496,494,4,Overflow-Underflow,code snippet injection
118,115,10,Overflow-Underflow,code snippet injection
107,105,4,Overflow-Underflow,code snippet injection
102,100,4,Overflow-Underflow,code snippet injection
491,489,4,Overflow-Underflow,code snippet injection
481,479,4,Overflow-Underflow,code snippet injection
470,468,4,Overflow-Underflow,code snippet injection
455,452,8,Overflow-Underflow,code snippet injection
456,452,8,Overflow-Underflow,code snippet injection
457,452,8,Overflow-Underflow,code snippet injection
442,439,8,Overflow-Underflow,code snippet injection
443,439,8,Overflow-Underflow,code snippet injection
444,439,8,Overflow-Underflow,code snippet injection
431,429,4,Overflow-Underflow,code snippet injection
423,421,4,Overflow-Underflow,code snippet injection
403,401,4,Overflow-Underflow,code snippet injection
389,386,8,Overflow-Underflow,code snippet injection
390,386,8,Overflow-Underflow,code snippet injection
391,386,8,Overflow-Underflow,code snippet injection
379,377,4,Overflow-Underflow,code snippet injection
371,369,4,Overflow-Underflow,code snippet injection
350,347,8,Overflow-Underflow,code snippet injection
351,347,8,Overflow-Underflow,code snippet injection
352,347,8,Overflow-Underflow,code snippet injection
340,338,4,Overflow-Underflow,code snippet injection
327,324,10,Overflow-Underflow,code snippet injection
308,305,10,Overflow-Underflow,code snippet injection
288,286,4,Overflow-Underflow,code snippet injection
275,272,10,Overflow-Underflow,code snippet injection
260,257,10,Overflow-Underflow,code snippet injection
248,245,8,Overflow-Underflow,code snippet injection
249,245,8,Overflow-Underflow,code snippet injection
250,245,8,Overflow-Underflow,code snippet injection
159,156,10,Overflow-Underflow,code snippet injection
136,134,4,Overflow-Underflow,code snippet injection
97,95,4,Overflow-Underflow,code snippet injection
89,86,8,Overflow-Underflow,code snippet injection
90,86,8,Overflow-Underflow,code snippet injection
91,86,8,Overflow-Underflow,code snippet injection
80,77,8,Overflow-Underflow,code snippet injection
81,77,8,Overflow-Underflow,code snippet injection
82,77,8,Overflow-Underflow,code snippet injection
69,66,10,Overflow-Underflow,code snippet injection
60,57,8,Overflow-Underflow,code snippet injection
61,57,8,Overflow-Underflow,code snippet injection
62,57,8,Overflow-Underflow,code snippet injection
54,52,4,Overflow-Underflow,code snippet injection
229,227,4,Overflow-Underflow,code snippet injection
218,215,10,Overflow-Underflow,code snippet injection
211,209,4,Overflow-Underflow,code snippet injection
206,204,4,Overflow-Underflow,code snippet injection
198,195,8,Overflow-Underflow,code snippet injection
199,195,8,Overflow-Underflow,code snippet injection
200,195,8,Overflow-Underflow,code snippet injection
187,184,10,Overflow-Underflow,code snippet injection
177,174,8,Overflow-Underflow,code snippet injection
178,174,8,Overflow-Underflow,code snippet injection
179,174,8,Overflow-Underflow,code snippet injection
