loc,length,bug type,approach
51,1,Overflow/Underflow,code snippet injection
62,1,Overflow/Underflow,code snippet injection
75,1,Overflow/Underflow,code snippet injection
90,1,Overflow/Underflow,code snippet injection
97,1,Overflow/Underflow,code snippet injection
102,1,Overflow/Underflow,code snippet injection
109,1,Overflow/Underflow,code snippet injection
121,1,Overflow/Underflow,code snippet injection
130,1,Overflow/Underflow,code snippet injection
140,1,Overflow/Underflow,code snippet injection
146,1,Overflow/Underflow,code snippet injection
154,1,Overflow/Underflow,code snippet injection
172,1,Overflow/Underflow,code snippet injection
185,1,Overflow/Underflow,code snippet injection
194,1,Overflow/Underflow,code snippet injection
205,1,Overflow/Underflow,code snippet injection
218,1,Overflow/Underflow,code snippet injection
235,1,Overflow/Underflow,code snippet injection
252,1,Overflow/Underflow,code snippet injection
261,1,Overflow/Underflow,code snippet injection
269,1,Overflow/Underflow,code snippet injection
281,1,Overflow/Underflow,code snippet injection
290,1,Overflow/Underflow,code snippet injection
305,1,Overflow/Underflow,code snippet injection
331,1,Overflow/Underflow,code snippet injection
343,1,Overflow/Underflow,code snippet injection
357,1,Overflow/Underflow,code snippet injection
369,1,Overflow/Underflow,code snippet injection
381,1,Overflow/Underflow,code snippet injection
391,1,Overflow/Underflow,code snippet injection
