loc,length,bug type,approach
31,4,Overflow-Underflow,code snippet injection
48,4,Overflow-Underflow,code snippet injection
70,4,Overflow-Underflow,code snippet injection
90,4,Overflow-Underflow,code snippet injection
218,8,Overflow-Underflow,code snippet injection
230,8,Overflow-Underflow,code snippet injection
240,6,Overflow-Underflow,code snippet injection
254,6,Overflow-Underflow,code snippet injection
267,6,Overflow-Underflow,code snippet injection
284,6,Overflow-Underflow,code snippet injection
297,6,Overflow-Underflow,code snippet injection
315,6,Overflow-Underflow,code snippet injection
337,6,Overflow-Underflow,code snippet injection
358,6,Overflow-Underflow,code snippet injection
383,6,Overflow-Underflow,code snippet injection
414,6,Overflow-Underflow,code snippet injection
437,6,Overflow-Underflow,code snippet injection
460,6,Overflow-Underflow,code snippet injection
485,6,Overflow-Underflow,code snippet injection
500,6,Overflow-Underflow,code snippet injection
512,8,Overflow-Underflow,code snippet injection
523,8,Overflow-Underflow,code snippet injection
532,6,Overflow-Underflow,code snippet injection
548,6,Overflow-Underflow,code snippet injection
561,8,Overflow-Underflow,code snippet injection
577,6,Overflow-Underflow,code snippet injection
597,6,Overflow-Underflow,code snippet injection
609,8,Overflow-Underflow,code snippet injection
