line,loc,length,bug type,approach
361,358,9,Re-erntrancy,code snippet injection
335,331,7,Re-erntrancy,code snippet injection
319,316,8,Re-erntrancy,code snippet injection
303,299,10,Re-erntrancy,code snippet injection
286,282,10,Re-erntrancy,code snippet injection
255,252,8,Re-erntrancy,code snippet injection
241,239,5,Re-erntrancy,code snippet injection
228,223,8,Re-erntrancy,code snippet injection
210,208,6,Re-erntrancy,code snippet injection
196,193,8,Re-erntrancy,code snippet injection
184,181,8,Re-erntrancy,code snippet injection
172,169,8,Re-erntrancy,code snippet injection
159,156,8,Re-erntrancy,code snippet injection
147,142,8,Re-erntrancy,code snippet injection
134,130,7,Re-erntrancy,code snippet injection
123,118,8,Re-erntrancy,code snippet injection
344,341,8,Re-erntrancy,code snippet injection
269,265,10,Re-erntrancy,code snippet injection
107,103,9,Re-erntrancy,code snippet injection
99,94,8,Re-erntrancy,code snippet injection
84,81,9,Re-erntrancy,code snippet injection
76,72,8,Re-erntrancy,code snippet injection
