loc,length,bug type,approach
8,5,8,Re+AC0-erntrancy,code snippet injection
19,14,8,Re+AC0-erntrancy,code snippet injection
27,23,7,Re+AC0-erntrancy,code snippet injection
36,31,8,Re+AC0-erntrancy,code snippet injection
78,75,9,Re+AC0-erntrancy,code snippet injection
89,86,8,Re+AC0-erntrancy,code snippet injection
99,96,8,Re+AC0-erntrancy,code snippet injection
109,106,8,Re+AC0-erntrancy,code snippet injection
120,116,8,Re+AC0-erntrancy,code snippet injection
156,153,8,Re+AC0-erntrancy,code snippet injection
166,163,8,Re+AC0-erntrancy,code snippet injection
177,173,8,Re+AC0-erntrancy,code snippet injection
186,183,9,Re+AC0-erntrancy,code snippet injection
199,194,8,Re+AC0-erntrancy,code snippet injection
208,204,9,Re+AC0-erntrancy,code snippet injection
219,215,10,Re+AC0-erntrancy,code snippet injection
240,237,8,Re+AC0-erntrancy,code snippet injection
256,253,8,Re+AC0-erntrancy,code snippet injection
271,268,8,Re+AC0-erntrancy,code snippet injection
289,287,6,Re+AC0-erntrancy,code snippet injection
320,315,8,Re+AC0-erntrancy,code snippet injection
343,341,5,Re+AC0-erntrancy,code snippet injection
361,358,8,Re+AC0-erntrancy,code snippet injection
517,513,10,Re+AC0-erntrancy,code snippet injection
540,536,10,Re+AC0-erntrancy,code snippet injection
554,551,8,Re+AC0-erntrancy,code snippet injection
567,563,7,Re+AC0-erntrancy,code snippet injection
