loc,length,bug type,approach
136,8,Re+AC0-erntrancy,code snippet injection
145,8,Re+AC0-erntrancy,code snippet injection
156,7,Re+AC0-erntrancy,code snippet injection
166,8,Re+AC0-erntrancy,code snippet injection
184,8,Re+AC0-erntrancy,code snippet injection
200,8,Re+AC0-erntrancy,code snippet injection
221,8,Re+AC0-erntrancy,code snippet injection
229,8,Re+AC0-erntrancy,code snippet injection
236,8,Re+AC0-erntrancy,code snippet injection
247,8,Re+AC0-erntrancy,code snippet injection
256,8,Re+AC0-erntrancy,code snippet injection
263,8,Re+AC0-erntrancy,code snippet injection
273,8,Re+AC0-erntrancy,code snippet injection
282,8,Re+AC0-erntrancy,code snippet injection
293,8,Re+AC0-erntrancy,code snippet injection
304,8,Re+AC0-erntrancy,code snippet injection
313,8,Re+AC0-erntrancy,code snippet injection
321,8,Re+AC0-erntrancy,code snippet injection
337,8,Re+AC0-erntrancy,code snippet injection
357,8,Re+AC0-erntrancy,code snippet injection
374,8,Re+AC0-erntrancy,code snippet injection
394,8,Re+AC0-erntrancy,code snippet injection
407,8,Re+AC0-erntrancy,code snippet injection
421,8,Re+AC0-erntrancy,code snippet injection
433,3,Re+AC0-erntrancy,code snippet injection
443,8,Re+AC0-erntrancy,code snippet injection
456,8,Re+AC0-erntrancy,code snippet injection
465,8,Re+AC0-erntrancy,code snippet injection
472,8,Re+AC0-erntrancy,code snippet injection
487,8,Re+AC0-erntrancy,code snippet injection
496,8,Re+AC0-erntrancy,code snippet injection
504,8,Re+AC0-erntrancy,code snippet injection
516,8,Re+AC0-erntrancy,code snippet injection
530,8,Re+AC0-erntrancy,code snippet injection
563,8,Re+AC0-erntrancy,code snippet injection
580,7,Re+AC0-erntrancy,code snippet injection
605,8,Re+AC0-erntrancy,code snippet injection
