line,loc,length,bug type,approach
300,295,13,TOD,code snippet injection
306,295,13,TOD,code snippet injection
286,281,13,TOD,code snippet injection
292,281,13,TOD,code snippet injection
47,42,13,TOD,code snippet injection
53,42,13,TOD,code snippet injection
504,499,13,TOD,code snippet injection
510,499,13,TOD,code snippet injection
480,475,18,TOD,code snippet injection
488,475,18,TOD,code snippet injection
463,458,13,TOD,code snippet injection
469,458,13,TOD,code snippet injection
440,435,18,TOD,code snippet injection
448,435,18,TOD,code snippet injection
423,418,13,TOD,code snippet injection
429,418,13,TOD,code snippet injection
401,396,18,TOD,code snippet injection
409,396,18,TOD,code snippet injection
372,367,18,TOD,code snippet injection
380,367,18,TOD,code snippet injection
346,341,18,TOD,code snippet injection
354,341,18,TOD,code snippet injection
180,175,13,TOD,code snippet injection
186,175,13,TOD,code snippet injection
166,161,13,TOD,code snippet injection
172,161,13,TOD,code snippet injection
147,142,18,TOD,code snippet injection
155,142,18,TOD,code snippet injection
92,87,18,TOD,code snippet injection
100,87,18,TOD,code snippet injection
65,60,18,TOD,code snippet injection
73,60,18,TOD,code snippet injection
320,315,18,TOD,code snippet injection
328,315,18,TOD,code snippet injection
267,262,18,TOD,code snippet injection
275,262,18,TOD,code snippet injection
253,248,13,TOD,code snippet injection
259,248,13,TOD,code snippet injection
238,233,13,TOD,code snippet injection
244,233,13,TOD,code snippet injection
224,219,13,TOD,code snippet injection
230,219,13,TOD,code snippet injection
210,205,13,TOD,code snippet injection
216,205,13,TOD,code snippet injection
196,191,13,TOD,code snippet injection
202,191,13,TOD,code snippet injection
32,27,13,TOD,code snippet injection
38,27,13,TOD,code snippet injection
13,8,18,TOD,code snippet injection
21,8,18,TOD,code snippet injection
