loc,length,bug type,approach
9,18,TOD,code snippet injection
32,13,TOD,code snippet injection
54,13,TOD,code snippet injection
71,13,TOD,code snippet injection
85,18,TOD,code snippet injection
110,18,TOD,code snippet injection
132,13,TOD,code snippet injection
150,13,TOD,code snippet injection
164,13,TOD,code snippet injection
178,13,TOD,code snippet injection
192,13,TOD,code snippet injection
206,13,TOD,code snippet injection
220,18,TOD,code snippet injection
239,18,TOD,code snippet injection
330,13,TOD,code snippet injection
345,13,TOD,code snippet injection
359,18,TOD,code snippet injection
378,18,TOD,code snippet injection
397,13,TOD,code snippet injection
411,18,TOD,code snippet injection
430,18,TOD,code snippet injection
449,18,TOD,code snippet injection
469,13,TOD,code snippet injection
484,18,TOD,code snippet injection
503,13,TOD,code snippet injection
517,13,TOD,code snippet injection
531,13,TOD,code snippet injection
545,13,TOD,code snippet injection
599,18,TOD,code snippet injection
633,18,TOD,code snippet injection
676,18,TOD,code snippet injection
731,13,TOD,code snippet injection
766,13,TOD,code snippet injection
805,18,TOD,code snippet injection
850,18,TOD,code snippet injection
922,18,TOD,code snippet injection
