loc,length,bug type,approach
55,13,TOD,code snippet injection
75,13,TOD,code snippet injection
102,13,TOD,code snippet injection
116,13,TOD,code snippet injection
130,13,TOD,code snippet injection
145,13,TOD,code snippet injection
159,13,TOD,code snippet injection
177,13,TOD,code snippet injection
196,13,TOD,code snippet injection
215,13,TOD,code snippet injection
231,13,TOD,code snippet injection
247,13,TOD,code snippet injection
295,13,TOD,code snippet injection
320,13,TOD,code snippet injection
345,13,TOD,code snippet injection
368,13,TOD,code snippet injection
393,13,TOD,code snippet injection
425,13,TOD,code snippet injection
457,13,TOD,code snippet injection
487,13,TOD,code snippet injection
516,13,TOD,code snippet injection
548,13,TOD,code snippet injection
577,13,TOD,code snippet injection
602,13,TOD,code snippet injection
