line,loc,length,bug type,approach
202,202,1,Timestamp-Dependency,code snippet injection
200,200,1,Timestamp-Dependency,code snippet injection
198,198,1,Timestamp-Dependency,code snippet injection
196,196,1,Timestamp-Dependency,code snippet injection
54,54,1,Timestamp-Dependency,code snippet injection
553,552,3,Timestamp-Dependency,code snippet injection
544,542,5,Timestamp-Dependency,code snippet injection
545,542,5,Timestamp-Dependency,code snippet injection
534,532,5,Timestamp-Dependency,code snippet injection
535,532,5,Timestamp-Dependency,code snippet injection
525,524,3,Timestamp-Dependency,code snippet injection
513,510,9,Timestamp-Dependency,code snippet injection
514,510,9,Timestamp-Dependency,code snippet injection
515,510,9,Timestamp-Dependency,code snippet injection
501,499,5,Timestamp-Dependency,code snippet injection
502,499,5,Timestamp-Dependency,code snippet injection
487,484,9,Timestamp-Dependency,code snippet injection
488,484,9,Timestamp-Dependency,code snippet injection
489,484,9,Timestamp-Dependency,code snippet injection
473,471,5,Timestamp-Dependency,code snippet injection
474,471,5,Timestamp-Dependency,code snippet injection
461,458,9,Timestamp-Dependency,code snippet injection
462,458,9,Timestamp-Dependency,code snippet injection
463,458,9,Timestamp-Dependency,code snippet injection
450,448,4,Timestamp-Dependency,code snippet injection
439,437,4,Timestamp-Dependency,code snippet injection
427,425,5,Timestamp-Dependency,code snippet injection
428,425,5,Timestamp-Dependency,code snippet injection
366,364,5,Timestamp-Dependency,code snippet injection
367,364,5,Timestamp-Dependency,code snippet injection
351,348,9,Timestamp-Dependency,code snippet injection
352,348,9,Timestamp-Dependency,code snippet injection
353,348,9,Timestamp-Dependency,code snippet injection
340,338,4,Timestamp-Dependency,code snippet injection
275,272,9,Timestamp-Dependency,code snippet injection
276,272,9,Timestamp-Dependency,code snippet injection
277,272,9,Timestamp-Dependency,code snippet injection
261,258,9,Timestamp-Dependency,code snippet injection
262,258,9,Timestamp-Dependency,code snippet injection
263,258,9,Timestamp-Dependency,code snippet injection
250,248,4,Timestamp-Dependency,code snippet injection
241,239,5,Timestamp-Dependency,code snippet injection
242,239,5,Timestamp-Dependency,code snippet injection
233,232,3,Timestamp-Dependency,code snippet injection
226,225,3,Timestamp-Dependency,code snippet injection
128,126,5,Timestamp-Dependency,code snippet injection
129,126,5,Timestamp-Dependency,code snippet injection
120,119,3,Timestamp-Dependency,code snippet injection
113,112,3,Timestamp-Dependency,code snippet injection
106,104,4,Timestamp-Dependency,code snippet injection
80,79,3,Timestamp-Dependency,code snippet injection
63,61,5,Timestamp-Dependency,code snippet injection
64,61,5,Timestamp-Dependency,code snippet injection
214,211,9,Timestamp-Dependency,code snippet injection
215,211,9,Timestamp-Dependency,code snippet injection
216,211,9,Timestamp-Dependency,code snippet injection
208,206,4,Timestamp-Dependency,code snippet injection
193,191,4,Timestamp-Dependency,code snippet injection
188,187,3,Timestamp-Dependency,code snippet injection
184,182,4,Timestamp-Dependency,code snippet injection
175,172,9,Timestamp-Dependency,code snippet injection
176,172,9,Timestamp-Dependency,code snippet injection
177,172,9,Timestamp-Dependency,code snippet injection
168,166,5,Timestamp-Dependency,code snippet injection
169,166,5,Timestamp-Dependency,code snippet injection
163,162,3,Timestamp-Dependency,code snippet injection
155,152,9,Timestamp-Dependency,code snippet injection
156,152,9,Timestamp-Dependency,code snippet injection
157,152,9,Timestamp-Dependency,code snippet injection
144,141,9,Timestamp-Dependency,code snippet injection
145,141,9,Timestamp-Dependency,code snippet injection
146,141,9,Timestamp-Dependency,code snippet injection
138,136,4,Timestamp-Dependency,code snippet injection
95,94,3,Timestamp-Dependency,code snippet injection
91,89,4,Timestamp-Dependency,code snippet injection
