loc,length,bug type,approach
33,1,Timestamp-Dependency,code snippet injection
37,1,Timestamp-Dependency,code snippet injection
45,1,Timestamp-Dependency,code snippet injection
60,1,Timestamp-Dependency,code snippet injection
73,1,Timestamp-Dependency,code snippet injection
77,1,Timestamp-Dependency,code snippet injection
93,3,Timestamp-Dependency,code snippet injection
134,3,Timestamp-Dependency,code snippet injection
151,1,Timestamp-Dependency,code snippet injection
177,1,Timestamp-Dependency,code snippet injection
181,1,Timestamp-Dependency,code snippet injection
186,1,Timestamp-Dependency,code snippet injection
191,1,Timestamp-Dependency,code snippet injection
200,1,Timestamp-Dependency,code snippet injection
202,1,Timestamp-Dependency,code snippet injection
210,1,Timestamp-Dependency,code snippet injection
219,1,Timestamp-Dependency,code snippet injection
227,3,Timestamp-Dependency,code snippet injection
237,1,Timestamp-Dependency,code snippet injection
245,1,Timestamp-Dependency,code snippet injection
254,1,Timestamp-Dependency,code snippet injection
267,1,Timestamp-Dependency,code snippet injection
280,3,Timestamp-Dependency,code snippet injection
306,1,Timestamp-Dependency,code snippet injection
327,3,Timestamp-Dependency,code snippet injection
343,1,Timestamp-Dependency,code snippet injection
382,1,Timestamp-Dependency,code snippet injection
400,3,Timestamp-Dependency,code snippet injection
411,1,Timestamp-Dependency,code snippet injection
423,1,Timestamp-Dependency,code snippet injection
435,1,Timestamp-Dependency,code snippet injection
449,1,Timestamp-Dependency,code snippet injection
