loc,length,bug type,approach
138,1,Timestamp-Dependency,code snippet injection
144,1,Timestamp-Dependency,code snippet injection
145,1,Timestamp-Dependency,code snippet injection
146,1,Timestamp-Dependency,code snippet injection
155,1,Timestamp-Dependency,code snippet injection
164,1,Timestamp-Dependency,code snippet injection
177,1,Timestamp-Dependency,code snippet injection
183,1,Timestamp-Dependency,code snippet injection
189,1,Timestamp-Dependency,code snippet injection
207,1,Timestamp-Dependency,code snippet injection
212,1,Timestamp-Dependency,code snippet injection
217,1,Timestamp-Dependency,code snippet injection
222,1,Timestamp-Dependency,code snippet injection
226,1,Timestamp-Dependency,code snippet injection
231,1,Timestamp-Dependency,code snippet injection
237,1,Timestamp-Dependency,code snippet injection
240,1,Timestamp-Dependency,code snippet injection
242,1,Timestamp-Dependency,code snippet injection
244,1,Timestamp-Dependency,code snippet injection
246,1,Timestamp-Dependency,code snippet injection
248,1,Timestamp-Dependency,code snippet injection
258,1,Timestamp-Dependency,code snippet injection
275,1,Timestamp-Dependency,code snippet injection
276,1,Timestamp-Dependency,code snippet injection
277,1,Timestamp-Dependency,code snippet injection
293,1,Timestamp-Dependency,code snippet injection
294,1,Timestamp-Dependency,code snippet injection
295,1,Timestamp-Dependency,code snippet injection
312,1,Timestamp-Dependency,code snippet injection
322,1,Timestamp-Dependency,code snippet injection
323,1,Timestamp-Dependency,code snippet injection
324,1,Timestamp-Dependency,code snippet injection
335,1,Timestamp-Dependency,code snippet injection
352,1,Timestamp-Dependency,code snippet injection
358,1,Timestamp-Dependency,code snippet injection
362,1,Timestamp-Dependency,code snippet injection
370,1,Timestamp-Dependency,code snippet injection
374,1,Timestamp-Dependency,code snippet injection
382,1,Timestamp-Dependency,code snippet injection
387,1,Timestamp-Dependency,code snippet injection
388,1,Timestamp-Dependency,code snippet injection
389,1,Timestamp-Dependency,code snippet injection
400,1,Timestamp-Dependency,code snippet injection
404,1,Timestamp-Dependency,code snippet injection
414,1,Timestamp-Dependency,code snippet injection
415,1,Timestamp-Dependency,code snippet injection
416,1,Timestamp-Dependency,code snippet injection
424,1,Timestamp-Dependency,code snippet injection
428,1,Timestamp-Dependency,code snippet injection
443,1,Timestamp-Dependency,code snippet injection
459,1,Timestamp-Dependency,code snippet injection
460,1,Timestamp-Dependency,code snippet injection
461,1,Timestamp-Dependency,code snippet injection
475,1,Timestamp-Dependency,code snippet injection
498,1,Timestamp-Dependency,code snippet injection
507,1,Timestamp-Dependency,code snippet injection
