line,loc,length,bug type,approach
62,61,2,Unchecked-Send,code snippet injection
59,58,2,Unchecked-Send,code snippet injection
142,141,2,Unchecked-Send,code snippet injection
136,135,2,Unchecked-Send,code snippet injection
128,127,2,Unchecked-Send,code snippet injection
122,121,2,Unchecked-Send,code snippet injection
108,107,2,Unchecked-Send,code snippet injection
98,97,2,Unchecked-Send,code snippet injection
55,54,2,Unchecked-Send,code snippet injection
48,47,2,Unchecked-Send,code snippet injection
40,39,2,Unchecked-Send,code snippet injection
31,30,2,Unchecked-Send,code snippet injection
23,22,2,Unchecked-Send,code snippet injection
87,86,2,Unchecked-Send,code snippet injection
84,83,2,Unchecked-Send,code snippet injection
81,80,2,Unchecked-Send,code snippet injection
72,71,2,Unchecked-Send,code snippet injection
69,68,2,Unchecked-Send,code snippet injection
