line,loc,length,bug type,approach
282,281,3,Unhandled-Exceptions,code snippet injection
278,274,6,Unhandled-Exceptions,code snippet injection
270,268,5,Unhandled-Exceptions,code snippet injection
417,416,2,Unhandled-Exceptions,code snippet injection
407,403,6,Unhandled-Exceptions,code snippet injection
390,388,9,Unhandled-Exceptions,code snippet injection
379,373,9,Unhandled-Exceptions,code snippet injection
361,360,3,Unhandled-Exceptions,code snippet injection
343,342,3,Unhandled-Exceptions,code snippet injection
310,309,2,Unhandled-Exceptions,code snippet injection
39,33,9,Unhandled-Exceptions,code snippet injection
27,24,8,Unhandled-Exceptions,code snippet injection
18,17,3,Unhandled-Exceptions,code snippet injection
215,214,3,Unhandled-Exceptions,code snippet injection
207,205,5,Unhandled-Exceptions,code snippet injection
194,192,9,Unhandled-Exceptions,code snippet injection
185,183,5,Unhandled-Exceptions,code snippet injection
177,176,3,Unhandled-Exceptions,code snippet injection
169,163,9,Unhandled-Exceptions,code snippet injection
