loc,length,bug type,approach
218,4,Unhandled-Exceptions,code snippet injection
224,3,Unhandled-Exceptions,code snippet injection
242,3,Unhandled-Exceptions,code snippet injection
252,5,Unhandled-Exceptions,code snippet injection
303,3,Unhandled-Exceptions,code snippet injection
324,3,Unhandled-Exceptions,code snippet injection
375,5,Unhandled-Exceptions,code snippet injection
403,2,Unhandled-Exceptions,code snippet injection
422,3,Unhandled-Exceptions,code snippet injection
444,3,Unhandled-Exceptions,code snippet injection
472,5,Unhandled-Exceptions,code snippet injection
503,3,Unhandled-Exceptions,code snippet injection
511,5,Unhandled-Exceptions,code snippet injection
521,5,Unhandled-Exceptions,code snippet injection
540,4,Unhandled-Exceptions,code snippet injection
551,2,Unhandled-Exceptions,code snippet injection
561,2,Unhandled-Exceptions,code snippet injection
582,4,Unhandled-Exceptions,code snippet injection
594,3,Unhandled-Exceptions,code snippet injection
