loc,length,bug type,approach
14,2,Unhandled-Exceptions,code snippet injection
25,8,Unhandled-Exceptions,code snippet injection
33,2,Unhandled-Exceptions,code snippet injection
38,1,Unhandled-Exceptions,code snippet injection
44,1,Unhandled-Exceptions,code snippet injection
55,5,Unhandled-Exceptions,code snippet injection
64,3,Unhandled-Exceptions,code snippet injection
76,4,Unhandled-Exceptions,code snippet injection
85,4,Unhandled-Exceptions,code snippet injection
95,1,Unhandled-Exceptions,code snippet injection
105,4,Unhandled-Exceptions,code snippet injection
117,1,Unhandled-Exceptions,code snippet injection
130,1,Unhandled-Exceptions,code snippet injection
138,10,Unhandled-Exceptions,code snippet injection
149,1,Unhandled-Exceptions,code snippet injection
157,2,Unhandled-Exceptions,code snippet injection
169,1,Unhandled-Exceptions,code snippet injection
179,1,Unhandled-Exceptions,code snippet injection
225,1,Unhandled-Exceptions,code snippet injection
252,15,Unhandled-Exceptions,code snippet injection
290,2,Unhandled-Exceptions,code snippet injection
314,4,Unhandled-Exceptions,code snippet injection
323,1,Unhandled-Exceptions,code snippet injection
338,1,Unhandled-Exceptions,code snippet injection
353,2,Unhandled-Exceptions,code snippet injection
389,6,Unhandled-Exceptions,code snippet injection
401,5,Unhandled-Exceptions,code snippet injection
412,5,Unhandled-Exceptions,code snippet injection
428,1,Unhandled-Exceptions,code snippet injection
441,1,Unhandled-Exceptions,code snippet injection
