line,loc,length,bug type,approach
231,230,4,tx.origin,code snippet injection
102,101,4,tx.origin,code snippet injection
274,273,4,tx.origin,code snippet injection
264,263,4,tx.origin,code snippet injection
241,240,3,tx.origin,code snippet injection
198,197,4,tx.origin,code snippet injection
169,168,3,tx.origin,code snippet injection
156,155,4,tx.origin,code snippet injection
145,144,3,tx.origin,code snippet injection
126,125,4,tx.origin,code snippet injection
115,114,4,tx.origin,code snippet injection
225,224,4,tx.origin,code snippet injection
220,219,4,tx.origin,code snippet injection
188,187,3,tx.origin,code snippet injection
96,95,4,tx.origin,code snippet injection
