loc,length,bug type,approach
59,1,tx.origin,code snippet injection
70,1,tx.origin,code snippet injection
90,1,tx.origin,code snippet injection
99,1,tx.origin,code snippet injection
108,1,tx.origin,code snippet injection
117,1,tx.origin,code snippet injection
133,1,tx.origin,code snippet injection
145,1,tx.origin,code snippet injection
159,1,tx.origin,code snippet injection
168,1,tx.origin,code snippet injection
177,1,tx.origin,code snippet injection
186,1,tx.origin,code snippet injection
194,1,tx.origin,code snippet injection
202,1,tx.origin,code snippet injection
211,1,tx.origin,code snippet injection
219,1,tx.origin,code snippet injection
228,1,tx.origin,code snippet injection
237,1,tx.origin,code snippet injection
246,1,tx.origin,code snippet injection
255,1,tx.origin,code snippet injection
263,1,tx.origin,code snippet injection
272,1,tx.origin,code snippet injection
280,1,tx.origin,code snippet injection
289,1,tx.origin,code snippet injection
297,1,tx.origin,code snippet injection
306,1,tx.origin,code snippet injection
315,1,tx.origin,code snippet injection
324,1,tx.origin,code snippet injection
