block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,16,
2,function,bug_intou20,17,20,17
3,imaginary,block_3_imag,21,21,
4,function,bug_intou32,22,25,22
5,imaginary,block_5_imag,26,28,27
6,function,transfer_intou38,29,34,
7,imaginary,block_7_imag,35,36,
8,function,bug_intou4,37,40,37
9,imaginary,block_9_imag,41,43,
10,function,bug_intou7,44,47,44
11,imaginary,block_11_imag,48,48,
12,function,bug_intou23,49,52,49
13,imaginary,block_13_imag,53,55,
14,function,bug_intou27,56,59,56
15,imaginary,block_15_imag,60,62,
16,function,bug_intou31,63,66,63
17,imaginary,block_17_imag,67,71,70
18,function,increaseLockTime_intou13,72,74,
19,function,withdraw_intou13,75,79,
20,imaginary,block_20_imag,80,82,
21,function,function_at_83,83,96,
22,imaginary,block_22_imag,97,98,97
23,function,transfer_intou14,99,104,
24,imaginary,block_24_imag,105,108,
25,function,_transfer,109,125,
26,imaginary,block_26_imag,126,127,126
27,function,transfer_intou30,128,133,
28,imaginary,block_28_imag,134,142,
29,function,transfer,143,146,
30,function,bug_intou8,147,150,147
31,imaginary,block_31_imag,151,160,
32,function,transferFrom,161,166,
33,function,bug_intou39,167,170,167
34,imaginary,block_34_imag,171,179,
35,function,approve,180,185,
36,function,bug_intou36,186,189,186
37,imaginary,block_37_imag,190,199,
38,function,approveAndCall,200,208,
39,function,bug_intou35,209,212,209
40,imaginary,block_40_imag,213,220,
41,function,burn,221,227,
42,function,bug_intou40,228,231,228
43,imaginary,block_43_imag,232,240,
44,function,burnFrom,241,249,
45,imaginary,block_45_imag,250,251,250
46,function,increaseLockTime_intou33,252,254,
47,function,withdraw_intou33,255,259,
48,imaginary,block_48_imag,260,260,
