block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,22,
2,function,add,23,26,
3,imaginary,block_3_imag,27,27,
4,function,sub,28,31,
5,imaginary,block_5_imag,32,32,
6,function,mul,33,36,
7,imaginary,block_7_imag,37,37,
8,function,div,38,41,
9,imaginary,block_9_imag,42,47,
10,function,limitLessThan,48,51,
11,imaginary,block_11_imag,52,62,62
12,function,callme_re_ent21,63,69,
13,imaginary,block_13_imag,70,71,71
14,function,withdrawFunds_re_ent10,72,77,
15,imaginary,block_15_imag,78,79,79
16,function,withdraw_balances_re_ent21,80,84,
17,imaginary,block_17_imag,85,86,86
18,function,withdrawBalance_re_ent12,87,94,
19,imaginary,block_19_imag,95,96,96
20,function,claimReward_re_ent11,97,103,
21,imaginary,block_21_imag,104,105,105
22,function,withdraw_balances_re_ent1,106,110,
23,imaginary,block_23_imag,111,111,111
24,function,withdrawBalance_re_ent33,112,120,
25,imaginary,block_25_imag,121,122,122
26,function,bug_re_ent27,123,129,
27,imaginary,block_27_imag,130,134,
28,function,to,135,152,143
29,imaginary,block_29_imag,153,163,163
30,function,withdrawFunds_re_ent31,164,169,
31,imaginary,block_31_imag,170,175,175
32,function,callme_re_ent42,176,182,
33,imaginary,block_33_imag,183,188,
34,function,transferOwnership,189,191,
35,imaginary,block_35_imag,192,193,192
36,function,buyTicket_re_ent2,194,199,
37,imaginary,block_37_imag,200,200,
38,function,acceptOwnership,201,206,
39,imaginary,block_39_imag,207,207,207
40,function,withdrawFunds_re_ent17,208,214,
41,imaginary,block_41_imag,215,245,245
42,function,claimReward_re_ent18,246,252,
43,imaginary,block_43_imag,253,254,254
44,function,withdraw_balances_re_ent29,255,258,
45,imaginary,block_45_imag,259,260,260
46,function,bug_re_ent6,261,267,
47,imaginary,block_47_imag,268,270,269
48,function,buyTicket_re_ent16,271,276,
49,imaginary,block_49_imag,277,278,278
50,function,withdrawFunds_re_ent24,279,284,
51,imaginary,block_51_imag,285,286,286
52,function,withdrawBalance_re_ent5,287,294,
53,imaginary,block_53_imag,295,296,296
54,function,withdraw_balances_re_ent15,297,300,
55,imaginary,block_55_imag,301,303,303
56,function,callme_re_ent28,304,310,
57,imaginary,block_57_imag,311,312,312
58,function,bug_re_ent34,313,319,
59,imaginary,block_59_imag,320,322,322
60,function,bug_re_ent13,323,330,
61,imaginary,block_61_imag,331,359,358
62,function,buyTicket_re_ent37,360,365,
63,imaginary,block_63_imag,366,366,
64,function,mint,367,390,
65,imaginary,block_65_imag,391,391,391
66,function,withdrawFunds_re_ent3,392,398,
67,imaginary,block_67_imag,399,400,
68,function,_startNewMiningEpoch,401,419,
69,imaginary,block_69_imag,420,421,420
70,function,buyTicket_re_ent9,422,428,
71,imaginary,block_71_imag,429,431,
72,function,_reAdjustDifficulty,432,460,
73,imaginary,block_73_imag,461,461,461
74,function,claimReward_re_ent25,462,468,
75,imaginary,block_75_imag,469,470,
76,function,getChallengeNumber,471,473,
77,imaginary,block_77_imag,474,474,474
78,function,withdrawBalance_re_ent19,475,482,
79,imaginary,block_79_imag,483,484,
80,function,getMiningDifficulty,485,487,
81,imaginary,block_81_imag,488,488,488
82,function,withdrawBalance_re_ent26,489,497,
83,imaginary,block_83_imag,498,498,
84,function,getMiningTarget,499,501,
85,imaginary,block_85_imag,502,502,502
86,function,bug_re_ent20,503,509,
87,imaginary,block_87_imag,510,512,
88,function,getMiningReward,513,517,
89,imaginary,block_89_imag,518,518,518
90,function,claimReward_re_ent32,519,525,
91,imaginary,block_91_imag,526,527,
92,function,getMintDigest,528,531,
93,imaginary,block_93_imag,532,532,532
94,function,withdrawFunds_re_ent38,533,538,
95,imaginary,block_95_imag,539,540,
96,function,checkMintSolution,541,545,
97,imaginary,block_97_imag,546,546,546
98,function,claimReward_re_ent4,547,553,
99,imaginary,block_99_imag,554,558,
100,function,totalSupply,559,561,
101,imaginary,block_101_imag,562,562,562
102,function,callme_re_ent7,563,569,
103,imaginary,block_103_imag,570,574,
104,function,balanceOf,575,577,
105,imaginary,block_105_imag,578,579,578
106,function,buyTicket_re_ent23,580,585,
107,imaginary,block_107_imag,586,592,
108,function,transfer,593,608,
109,imaginary,block_109_imag,609,609,609
110,function,callme_re_ent14,610,616,
111,imaginary,block_111_imag,617,626,
112,function,approve,627,631,
113,imaginary,block_113_imag,632,633,632
114,function,buyTicket_re_ent30,634,639,
115,imaginary,block_115_imag,640,650,
116,function,transferFrom,651,661,
117,imaginary,block_117_imag,662,662,662
118,function,withdraw_balances_re_ent8,663,667,
119,imaginary,block_119_imag,668,673,
120,function,allowance,674,676,
121,imaginary,block_121_imag,677,677,677
122,function,claimReward_re_ent39,678,684,
123,imaginary,block_123_imag,685,687,
124,function,approveAndCall,688,697,
125,imaginary,block_125_imag,698,698,698
126,function,withdraw_balances_re_ent36,699,702,
127,imaginary,block_127_imag,703,707,
128,function,function_at_708,708,710,
129,imaginary,block_129_imag,711,711,711
130,function,callme_re_ent35,712,718,
131,imaginary,block_131_imag,719,723,
132,function,transferAnyERC20Token,724,726,
133,imaginary,block_133_imag,727,727,727
134,function,withdrawBalance_re_ent40,728,736,
135,imaginary,block_135_imag,737,738,
