block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,22,
2,function,add,23,26,
3,function,sub,27,30,
4,function,mul,31,34,
5,function,div,35,38,
6,imaginary,block_6_imag,39,48,48
7,function,play_TOD17,49,55,
8,imaginary,block_8_imag,56,56,
9,function,getReward_TOD17,57,60,
10,imaginary,block_10_imag,61,62,62
11,function,play_TOD37,63,69,
12,imaginary,block_12_imag,70,70,
13,function,getReward_TOD37,71,74,
14,imaginary,block_14_imag,75,76,76
15,function,play_TOD3,77,83,
16,imaginary,block_16_imag,84,84,
17,function,getReward_TOD3,85,88,
18,imaginary,block_18_imag,89,90,90
19,function,play_TOD9,91,97,
20,imaginary,block_20_imag,98,98,
21,function,getReward_TOD9,99,102,
22,imaginary,block_22_imag,103,104,104
23,function,play_TOD25,105,111,
24,imaginary,block_24_imag,112,112,
25,function,getReward_TOD25,113,116,
26,imaginary,block_26_imag,117,118,118
27,function,play_TOD19,119,125,
28,imaginary,block_28_imag,126,126,
29,function,getReward_TOD19,127,130,
30,imaginary,block_30_imag,131,132,132
31,function,play_TOD27,133,139,
32,imaginary,block_32_imag,140,140,
33,function,getReward_TOD27,141,144,
34,imaginary,block_34_imag,145,146,146
35,function,play_TOD31,147,153,
36,imaginary,block_36_imag,154,154,
37,function,getReward_TOD31,155,158,
38,imaginary,block_38_imag,159,163,
39,function,to,164,188,170
40,imaginary,block_40_imag,189,197,195
41,function,setReward_TOD34,198,204,
42,imaginary,block_42_imag,205,205,
43,function,claimReward_TOD34,206,212,
44,imaginary,block_44_imag,213,214,214
45,function,play_TOD21,215,221,
46,imaginary,block_46_imag,222,222,
47,function,getReward_TOD21,223,226,
48,imaginary,block_48_imag,227,229,229
49,function,play_TOD13,230,236,
50,imaginary,block_50_imag,237,237,
51,function,getReward_TOD13,238,241,
52,imaginary,block_52_imag,242,243,
53,function,Owned,244,246,
54,imaginary,block_54_imag,247,249,247
55,function,setReward_TOD20,250,256,
56,imaginary,block_56_imag,257,257,
57,function,claimReward_TOD20,258,264,
58,imaginary,block_58_imag,265,270,
59,function,transferOwnership,271,273,
60,imaginary,block_60_imag,274,276,274
61,function,setReward_TOD32,277,283,
62,imaginary,block_62_imag,284,284,
63,function,claimReward_TOD32,285,291,
64,function,acceptOwnership,292,297,
65,imaginary,block_65_imag,298,300,298
66,function,setReward_TOD38,301,307,
67,imaginary,block_67_imag,308,308,
68,function,claimReward_TOD38,309,315,
69,imaginary,block_69_imag,316,328,326
70,function,setReward_TOD10,329,335,
71,imaginary,block_71_imag,336,336,
72,function,claimReward_TOD10,337,343,
73,imaginary,block_73_imag,344,347,345
74,function,setReward_TOD22,348,354,
75,imaginary,block_75_imag,355,355,
76,function,claimReward_TOD22,356,362,
77,imaginary,block_77_imag,363,366,364
78,function,setReward_TOD12,367,373,
79,imaginary,block_79_imag,374,374,
80,function,claimReward_TOD12,375,381,
81,imaginary,block_81_imag,382,383,383
82,function,play_TOD11,384,390,
83,imaginary,block_83_imag,391,391,
84,function,getReward_TOD11,392,395,
85,imaginary,block_85_imag,396,398,398
86,function,play_TOD1,399,405,
87,imaginary,block_87_imag,406,406,
88,function,getReward_TOD1,407,410,
89,imaginary,block_89_imag,411,414,412
90,function,setReward_TOD2,415,421,
91,imaginary,block_91_imag,422,422,
92,function,claimReward_TOD2,423,429,
93,imaginary,block_93_imag,430,435,
94,function,function_at_436,436,443,
95,imaginary,block_95_imag,444,446,444
96,function,setReward_TOD4,447,453,
97,imaginary,block_97_imag,454,454,
98,function,claimReward_TOD4,455,461,
99,imaginary,block_99_imag,462,466,
100,function,totalSupply,467,469,
101,imaginary,block_101_imag,470,470,470
102,function,play_TOD7,471,477,
103,imaginary,block_103_imag,478,478,
104,function,getReward_TOD7,479,482,
105,imaginary,block_105_imag,483,487,
106,function,balanceOf,488,490,
107,imaginary,block_107_imag,491,491,491
108,function,play_TOD23,492,498,
109,imaginary,block_109_imag,499,499,
110,function,getReward_TOD23,500,503,
111,imaginary,block_111_imag,504,510,
112,function,transfer,511,516,
113,imaginary,block_113_imag,517,519,517
114,function,setReward_TOD14,520,526,
115,imaginary,block_115_imag,527,527,
116,function,claimReward_TOD14,528,534,
117,imaginary,block_117_imag,535,536,
118,function,increaseApproval,537,541,
119,imaginary,block_119_imag,542,544,542
120,function,setReward_TOD30,545,551,
121,imaginary,block_121_imag,552,552,
122,function,claimReward_TOD30,553,559,
123,imaginary,block_123_imag,560,560,
124,function,decreaseApproval,561,570,
125,imaginary,block_125_imag,571,573,571
126,function,setReward_TOD8,574,580,
127,imaginary,block_127_imag,581,581,
128,function,claimReward_TOD8,582,588,
129,imaginary,block_129_imag,589,598,
130,function,approve,599,603,
131,imaginary,block_131_imag,604,604,604
132,function,play_TOD39,605,611,
133,imaginary,block_133_imag,612,612,
134,function,getReward_TOD39,613,616,
135,imaginary,block_135_imag,617,627,
136,function,transferFrom,628,634,
137,imaginary,block_137_imag,635,637,635
138,function,setReward_TOD36,638,644,
139,imaginary,block_139_imag,645,645,
140,function,claimReward_TOD36,646,652,
141,imaginary,block_141_imag,653,658,
142,function,allowance,659,661,
143,imaginary,block_143_imag,662,662,662
144,function,play_TOD35,663,669,
145,imaginary,block_145_imag,670,670,
146,function,getReward_TOD35,671,674,
147,imaginary,block_147_imag,675,678,
148,function,approveAndCall,679,687,
149,imaginary,block_149_imag,688,690,688
150,function,setReward_TOD40,691,697,
151,imaginary,block_151_imag,698,698,
152,function,claimReward_TOD40,699,705,
153,imaginary,block_153_imag,706,710,
154,function,transferAnyERC20Token,711,713,
155,imaginary,block_155_imag,714,714,714
156,function,play_TOD33,715,721,
157,imaginary,block_157_imag,722,722,
158,function,getReward_TOD33,723,726,
159,imaginary,block_159_imag,727,727,
