block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,12,
2,function,bug_tmstmp32,13,21,13
3,imaginary,block_3_imag,22,42,42
4,function,play_tmstmp38,43,45,
5,imaginary,block_5_imag,46,55,
6,function,bug_tmstmp4,56,64,56
7,imaginary,block_7_imag,65,68,68
8,function,play_tmstmp31,69,72,
9,imaginary,block_9_imag,73,73,
10,function,bug_tmstmp13,74,76,74
11,imaginary,block_11_imag,77,93,"78,80,82,84,86,93"
12,function,play_tmstmp7,94,97,
13,imaginary,block_13_imag,98,99,
14,function,setOpenStatus,100,102,
15,imaginary,block_15_imag,103,103,103
16,function,play_tmstmp23,104,107,
17,imaginary,block_17_imag,108,109,
18,function,changeOdd,110,120,
19,imaginary,block_19_imag,121,121,121
20,function,play_tmstmp14,122,124,
21,imaginary,block_21_imag,125,126,
22,function,setGameInfo,127,140,
23,imaginary,block_23_imag,141,141,141
24,function,play_tmstmp30,142,144,
25,imaginary,block_25_imag,145,146,
26,function,placeBet,147,184,
27,function,bug_tmstmp8,185,193,185
28,imaginary,block_28_imag,194,195,
29,function,givePrizeMoney,196,227,
30,imaginary,block_30_imag,228,228,228
31,function,play_tmstmp39,229,232,
32,imaginary,block_32_imag,233,240,
33,function,getBalance,241,243,
34,function,bug_tmstmp36,244,252,244
35,imaginary,block_35_imag,253,254,
36,function,deposit,255,257,
37,imaginary,block_37_imag,258,258,258
38,function,play_tmstmp35,259,262,
39,imaginary,block_39_imag,263,264,
40,function,changeOwner,265,267,
41,function,bug_tmstmp40,268,276,268
42,imaginary,block_42_imag,277,277,
43,function,function,278,281,
44,function,bug_tmstmp33,282,284,282
45,imaginary,block_45_imag,285,286,
46,function,withdraw,287,291,
47,imaginary,block_47_imag,292,292,292
48,function,play_tmstmp27,293,296,
49,imaginary,block_49_imag,297,298,
