block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,29,
2,function,add,30,35,
3,imaginary,block_3_imag,36,45,
4,function,sub,46,51,
5,imaginary,block_5_imag,52,61,
6,function,mul,62,74,
7,imaginary,block_7_imag,75,79,
8,function,uses,80,94,
9,imaginary,block_9_imag,95,99,
10,function,uses,100,110,
11,imaginary,block_11_imag,111,215,
12,function,bug_unchk_send21,216,217,216
13,imaginary,block_13_imag,218,219,
14,function,bug_unchk_send10,220,221,220
15,imaginary,block_15_imag,222,223,
16,function,bug_unchk_send22,224,225,224
17,imaginary,block_17_imag,226,230,
18,function,totalSupply,231,233,
19,function,bug_unchk_send2,234,235,234
20,imaginary,block_20_imag,236,239,
21,function,balanceOf,240,242,
22,function,bug_unchk_send17,243,244,243
23,imaginary,block_23_imag,245,253,
24,function,transfer,254,257,
25,function,bug_unchk_send3,258,259,258
26,imaginary,block_26_imag,260,263,
27,function,allowance,264,266,
28,function,bug_unchk_send9,267,268,267
29,imaginary,block_29_imag,269,276,
30,function,approve,277,280,
31,function,bug_unchk_send25,281,282,281
32,imaginary,block_32_imag,283,295,
33,function,transferFrom,296,300,
34,function,bug_unchk_send19,301,302,301
35,imaginary,block_35_imag,303,315,
36,function,increaseAllowance,316,319,
37,function,bug_unchk_send26,320,321,320
38,imaginary,block_38_imag,322,336,
39,function,decreaseAllowance,337,340,
40,function,bug_unchk_send20,341,342,341
41,imaginary,block_41_imag,343,346,
42,function,is,347,365,
43,function,bug_unchk_send32,366,367,366
44,imaginary,block_44_imag,368,377,
45,function,_mint,378,384,
46,function,bug_unchk_send4,385,386,385
47,imaginary,block_47_imag,387,398,
48,function,_burn,399,405,
49,function,bug_unchk_send7,406,407,406
50,imaginary,block_50_imag,408,411,
51,function,is,412,428,
52,function,bug_unchk_send23,429,430,429
53,imaginary,block_53_imag,431,437,
54,function,_burnFrom,438,441,
55,function,bug_unchk_send14,442,443,442
56,imaginary,block_56_imag,444,449,
57,function,bug_unchk_send12,450,451,450
58,imaginary,block_58_imag,452,452,
59,function,bug_unchk_send11,453,454,453
60,imaginary,block_60_imag,455,455,
61,function,bug_unchk_send1,456,457,456
62,imaginary,block_62_imag,458,469,
63,function,bug_unchk_send30,470,471,470
64,imaginary,block_64_imag,472,475,
65,function,name,476,478,
66,function,bug_unchk_send8,479,480,479
67,imaginary,block_67_imag,481,485,
68,function,symbol,486,488,
69,function,bug_unchk_send27,489,490,489
70,imaginary,block_70_imag,491,503,
71,function,decimals,504,506,
72,function,bug_unchk_send31,507,508,507
73,imaginary,block_73_imag,509,514,
74,function,bug_unchk_send13,515,516,515
75,imaginary,block_75_imag,517,517,
