block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,11,8
2,function,sendToWinner_unchk8,12,16,
3,imaginary,block_3_imag,17,18,
4,function,bug_unchk39,19,20,19
5,imaginary,block_5_imag,21,21,
6,function,my_func_uncheck36,22,24,22
7,imaginary,block_7_imag,25,25,
8,function,my_func_unchk35,26,28,26
9,imaginary,block_9_imag,29,33,32
10,function,withdrawLeftOver_unchk45,34,37,
11,imaginary,block_11_imag,38,43,
12,function,UncheckedExternalCall_unchk40,44,52,44
13,imaginary,block_13_imag,53,53,
14,function,transfer,54,60,
15,imaginary,block_15_imag,61,62,61
16,function,withdrawLeftOver_unchk33,63,66,
17,imaginary,block_17_imag,67,67,
18,function,callnotchecked_unchk13,68,70,68
19,imaginary,block_19_imag,71,76,73
20,function,sendToWinner_unchk44,77,81,
21,imaginary,block_21_imag,82,83,
22,function,approve,84,91,
23,function,bug_unchk27,92,93,92
24,imaginary,block_24_imag,94,94,
25,function,transferFrom,95,107,
26,function,bug_unchk31,108,112,108
27,imaginary,block_27_imag,113,113,
