label,label_folder,contract_id,sol_path,meta_path,out_csv,num_blocks,num_vuln_lines_in_metadata
Integer flow,Overflow-Underflow,1,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_1.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_1.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_1_blocks.csv,45,18
Integer flow,Overflow-Underflow,2,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_2.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_2.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_2_blocks.csv,55,20
Integer flow,Overflow-Underflow,3,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_3.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_3.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_3_blocks.csv,59,21
Integer flow,Overflow-Underflow,4,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_4.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_4.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_4_blocks.csv,46,18
Integer flow,Overflow-Underflow,5,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_5.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_5.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_5_blocks.csv,90,31
Integer flow,Overflow-Underflow,6,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_6.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_6.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_6_blocks.csv,95,30
Integer flow,Overflow-Underflow,7,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_7.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_7.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_7_blocks.csv,98,31
Integer flow,Overflow-Underflow,8,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_8.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_8.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_8_blocks.csv,90,31
Integer flow,Overflow-Underflow,9,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_9.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_9.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_9_blocks.csv,77,24
Integer flow,Overflow-Underflow,10,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_10.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_10.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_10_blocks.csv,24,8
Integer flow,Overflow-Underflow,11,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_11.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_11.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_11_blocks.csv,87,30
Integer flow,Overflow-Underflow,12,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_12.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_12.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_12_blocks.csv,120,35
Integer flow,Overflow-Underflow,13,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_13.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_13.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_13_blocks.csv,48,17
Integer flow,Overflow-Underflow,14,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_14.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_14.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_14_blocks.csv,77,22
Integer flow,Overflow-Underflow,15,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_15.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_15.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_15_blocks.csv,48,17
Integer flow,Overflow-Underflow,16,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_16.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_16.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_16_blocks.csv,126,40
Integer flow,Overflow-Underflow,17,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_17.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_17.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_17_blocks.csv,90,30
Integer flow,Overflow-Underflow,18,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_18.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_18.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_18_blocks.csv,129,39
Integer flow,Overflow-Underflow,19,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_19.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_19.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_19_blocks.csv,91,28
Integer flow,Overflow-Underflow,20,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_20.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_20.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_20_blocks.csv,86,31
Integer flow,Overflow-Underflow,21,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_21.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_21.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_21_blocks.csv,86,27
Integer flow,Overflow-Underflow,22,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_22.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_22.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_22_blocks.csv,110,36
Integer flow,Overflow-Underflow,23,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_23.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_23.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_23_blocks.csv,94,26
Integer flow,Overflow-Underflow,24,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_24.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_24.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_24_blocks.csv,144,40
Integer flow,Overflow-Underflow,25,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_25.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_25.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_25_blocks.csv,60,21
Integer flow,Overflow-Underflow,26,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_26.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_26.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_26_blocks.csv,77,22
Integer flow,Overflow-Underflow,27,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_27.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_27.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_27_blocks.csv,135,40
Integer flow,Overflow-Underflow,28,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_28.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_28.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_28_blocks.csv,98,29
Integer flow,Overflow-Underflow,29,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_29.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_29.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_29_blocks.csv,58,19
Integer flow,Overflow-Underflow,30,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_30.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_30.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_30_blocks.csv,173,40
Integer flow,Overflow-Underflow,31,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_31.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_31.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_31_blocks.csv,49,15
Integer flow,Overflow-Underflow,32,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_32.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_32.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_32_blocks.csv,57,21
Integer flow,Overflow-Underflow,33,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_33.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_33.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_33_blocks.csv,78,25
Integer flow,Overflow-Underflow,34,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_34.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_34.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_34_blocks.csv,120,36
Integer flow,Overflow-Underflow,35,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_35.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_35.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_35_blocks.csv,120,34
Integer flow,Overflow-Underflow,36,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_36.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_36.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_36_blocks.csv,110,36
Integer flow,Overflow-Underflow,37,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_37.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_37.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_37_blocks.csv,95,34
Integer flow,Overflow-Underflow,38,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_38.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_38.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_38_blocks.csv,98,29
Integer flow,Overflow-Underflow,39,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_39.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_39.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_39_blocks.csv,29,11
Integer flow,Overflow-Underflow,40,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_40.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_40.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_40_blocks.csv,86,24
Integer flow,Overflow-Underflow,41,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_41.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_41.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_41_blocks.csv,48,17
Integer flow,Overflow-Underflow,42,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_42.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_42.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_42_blocks.csv,78,25
Integer flow,Overflow-Underflow,43,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_43.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_43.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_43_blocks.csv,96,29
Integer flow,Overflow-Underflow,44,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_44.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_44.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_44_blocks.csv,100,30
Integer flow,Overflow-Underflow,45,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_45.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_45.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_45_blocks.csv,76,28
Integer flow,Overflow-Underflow,46,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_46.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_46.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_46_blocks.csv,25,7
Integer flow,Overflow-Underflow,47,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_47.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_47.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_47_blocks.csv,109,40
Integer flow,Overflow-Underflow,48,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_48.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_48.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_48_blocks.csv,93,31
Integer flow,Overflow-Underflow,49,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_49.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_49.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_49_blocks.csv,29,11
