block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,8,
2,function,mul,9,16,
3,function,div,17,21,
4,function,sub,22,26,
5,function,add,27,31,
6,function,mod,32,35,
7,function,max256,36,38,
8,function,min256,39,41,
9,imaginary,block_9_imag,42,48,
10,function,withdrawAll_txorigin10,49,52,49
11,imaginary,block_11_imag,53,57,
12,function,bug_txorigin20,58,60,58
13,imaginary,block_13_imag,61,66,
14,function,transferOwnership,67,69,
15,function,bug_txorigin32,70,72,70
16,imaginary,block_16_imag,73,81,
17,function,withdrawAll_txorigin22,82,85,82
18,imaginary,block_18_imag,86,86,
19,function,bug_txorigin12,87,89,87
20,imaginary,block_20_imag,90,90,
21,function,transferTo_txorigin11,91,94,91
22,imaginary,block_22_imag,95,95,
23,function,sendto_txorigin1,96,99,96
24,imaginary,block_24_imag,100,101,
25,function,withdrawAll_txorigin2,102,105,102
26,imaginary,block_26_imag,106,106,
27,function,sendto_txorigin17,107,110,107
28,imaginary,block_28_imag,111,112,
29,function,transferTo_txorigin27,113,116,113
30,imaginary,block_30_imag,117,118,
31,function,transferTo_txorigin31,119,122,119
32,imaginary,block_32_imag,123,124,
33,function,sendto_txorigin13,125,128,125
34,imaginary,block_34_imag,129,136,
35,function,withdrawAll_txorigin38,137,140,137
36,imaginary,block_36_imag,141,141,
37,function,_transfer,142,147,
38,function,bug_txorigin4,148,150,148
39,imaginary,block_39_imag,151,151,
40,function,transfer,152,155,
41,function,transferTo_txorigin7,156,159,156
42,imaginary,block_42_imag,160,161,
43,function,transferFrom,162,166,
44,function,transferTo_txorigin23,167,170,167
45,imaginary,block_45_imag,171,172,
46,function,approve,173,177,
47,function,withdrawAll_txorigin14,178,181,178
48,imaginary,block_48_imag,182,183,
49,function,approveAndCall,184,190,
50,function,withdrawAll_txorigin30,191,194,191
51,imaginary,block_51_imag,195,203,
52,function,sendto_txorigin37,204,207,205
53,imaginary,block_53_imag,208,208,
54,function,transferTo_txorigin3,209,212,210
55,imaginary,block_55_imag,213,214,
56,function,sendto_txorigin9,215,218,215
57,imaginary,block_57_imag,219,220,
58,function,sendto_txorigin25,221,224,221
59,imaginary,block_59_imag,225,225,
60,function,transferTo_txorigin19,226,229,226
61,imaginary,block_61_imag,230,238,
62,function,withdrawAll_txorigin26,239,242,239
63,imaginary,block_63_imag,243,262,
64,function,bug_txorigin8,263,265,263
65,imaginary,block_65_imag,266,266,
66,function,_transfer,267,273,
67,function,transferTo_txorigin39,274,277,274
68,imaginary,block_68_imag,278,278,
69,function,checkFrozenWallet,279,287,
70,function,bug_txorigin36,288,290,288
71,imaginary,block_71_imag,291,292,
72,function,burn,293,298,
73,function,transferTo_txorigin35,299,302,299
74,imaginary,block_74_imag,303,303,
75,function,burnFrom,304,310,
76,function,bug_txorigin40,311,313,311
77,imaginary,block_77_imag,314,314,
78,function,freezeToken,315,317,
79,function,sendto_txorigin33,318,321,318
80,imaginary,block_80_imag,322,322,
