filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,2,0.8611111111111112,0.62,0.7209302325581396,0.8611111111111112,0.8387096774193549,1.0,0.9122807017543859,0.9758454106280193
buggy_2.sol,warmup,1,2,0.85,0.5964912280701754,0.7010309278350515,0.85,0.8235294117647058,1.0,0.9032258064516129,0.9755102040816327
buggy_3.sol,warmup,3,3,0.8160919540229885,0.5725806451612904,0.6729857819905214,0.8160919540229885,0.7837837837837838,1.0,0.8787878787878788,0.9692307692307692
buggy_4.sol,warmup,1,1,0.7934782608695652,0.73,0.7604166666666666,0.7934782608695652,0.5652173913043478,1.0,0.7222222222222222,0.9095022624434389
buggy_5.sol,warmup,2,3,0.7192982456140351,0.615,0.6630727762803235,0.7192982456140351,0.5357142857142857,1.0,0.6976744186046512,0.9140969162995595
buggy_6.sol,eval,1,3,1.0,0.5842105263157895,0.7375415282392027,1.0,0.9361702127659575,1.0,0.967032967032967,0.9915492957746479
buggy_7.sol,eval,2,2,1.0,0.535,0.6970684039087948,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.994579945799458
buggy_8.sol,eval,3,3,0.7039473684210527,0.535,0.6079545454545454,0.7039473684210527,0.6818181818181818,1.0,0.8108108108108109,0.9537444933920705
buggy_9.sol,eval,1,3,0.8541666666666666,0.5540540540540541,0.6721311475409837,0.8541666666666666,0.775,0.96875,0.8611111111111113,0.9750623441396509
buggy_10.sol,eval,3,3,1.0,0.6818181818181818,0.8108108108108109,1.0,0.5714285714285714,1.0,0.7272727272727273,0.9310344827586207
buggy_11.sol,eval,2,2,0.8625954198473282,0.5947368421052631,0.7040498442367601,0.8625954198473282,0.6825396825396826,0.9772727272727273,0.8037383177570094,0.9457364341085271
buggy_12.sol,eval,2,3,0.8533333333333334,0.5818181818181818,0.6918918918918919,0.8533333333333334,0.676056338028169,0.9230769230769231,0.7804878048780487,0.9479768786127167
buggy_13.sol,eval,2,2,0.6551724137931034,0.6195652173913043,0.6368715083798882,0.6551724137931034,0.6052631578947368,1.0,0.7540983606557378,0.94140625
buggy_14.sol,eval,1,3,0.8148148148148148,0.6875,0.7457627118644067,0.8148148148148148,0.5,0.9666666666666667,0.6590909090909091,0.9053627760252366
buggy_15.sol,eval,2,2,0.6551724137931034,0.6195652173913043,0.6368715083798882,0.6551724137931034,0.6052631578947368,1.0,0.7540983606557378,0.94140625
