filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_2.sol,warmup,1,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_3.sol,warmup,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_4.sol,warmup,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9872611464968153
buggy_5.sol,warmup,1,3,0.6458333333333334,1.0,0.7848101265822784,0.6458333333333334,0.96875,1.0,0.9841269841269841,0.9968354430379747
buggy_6.sol,eval,2,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_7.sol,eval,3,3,0.6666666666666666,0.967741935483871,0.7894736842105263,0.6666666666666666,0.9666666666666667,0.9354838709677419,0.9508196721311476,0.987012987012987
buggy_8.sol,eval,2,2,0.6451612903225806,0.967741935483871,0.7741935483870968,0.6451612903225806,0.967741935483871,0.967741935483871,0.967741935483871,0.9936708860759493
buggy_9.sol,eval,1,3,0.6666666666666666,0.875,0.7567567567567567,0.6666666666666666,1.0,0.875,0.9333333333333333,0.9900332225913622
buggy_10.sol,eval,2,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_11.sol,eval,3,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_12.sol,eval,3,3,0.6185567010309279,1.0,0.7643312101910829,0.6185567010309279,0.9090909090909091,1.0,0.9523809523809523,0.9914040114613181
buggy_13.sol,eval,2,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_14.sol,eval,2,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
buggy_15.sol,eval,2,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0
