filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,3,0.9629629629629629,0.5591397849462365,0.7074829931972789,0.9629629629629629,1.0,1.0,1.0,1.0
buggy_2.sol,warmup,1,3,0.9666666666666667,0.5225225225225225,0.6783625730994152,0.9666666666666667,1.0,1.0,1.0,1.0
buggy_3.sol,warmup,1,3,0.9682539682539683,0.5350877192982456,0.6892655367231639,0.9682539682539683,1.0,1.0,1.0,1.0
buggy_4.sol,warmup,1,3,0.9629629629629629,0.5591397849462365,0.7074829931972789,0.9629629629629629,1.0,1.0,1.0,1.0
buggy_5.sol,warmup,1,3,0.9270833333333334,0.5741935483870968,0.7091633466135457,0.9270833333333334,0.9375,0.967741935483871,0.9523809523809523,0.9926650366748166
buggy_6.sol,eval,3,3,0.8333333333333334,0.6462585034013606,0.7279693486590039,0.8333333333333334,0.5869565217391305,0.9,0.7105263157894737,0.9294871794871795
buggy_7.sol,eval,3,3,0.9555555555555556,0.5548387096774193,0.7020408163265306,0.9555555555555556,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.9845679012345679
buggy_8.sol,eval,2,2,0.898989898989899,0.5741935483870968,0.7007874015748031,0.898989898989899,0.9090909090909091,0.967741935483871,0.9374999999999999,0.9902200488997555
buggy_9.sol,eval,2,2,0.9722222222222222,0.546875,0.7,0.9722222222222222,1.0,1.0,1.0,1.0
buggy_10.sol,eval,2,2,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.9583333333333334,1.0,1.0,1.0,1.0
buggy_11.sol,eval,3,3,0.956989247311828,0.5741935483870968,0.717741935483871,0.956989247311828,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9829545454545454
buggy_12.sol,eval,3,3,0.8174603174603174,0.6058823529411764,0.6959459459459459,0.8174603174603174,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9739130434782609
buggy_13.sol,eval,1,3,0.9411764705882353,0.5333333333333333,0.6808510638297872,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.984251968503937
buggy_14.sol,eval,2,2,0.9696969696969697,0.5378151260504201,0.6918918918918919,0.9696969696969697,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9935064935064936
buggy_15.sol,eval,2,2,0.9607843137254902,0.5444444444444444,0.6950354609929078,0.9607843137254902,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9921259842519685
