label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Overflow-Underflow,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,9996,77,10073,5.8246,False,0.04075
Overflow-Underflow,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,9220,81,9301,4.9939,False,0.037686
Overflow-Underflow,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,9647,65,9712,5.5168,False,0.039234
Overflow-Underflow,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,9192,79,9271,6.2831,False,0.037554
Overflow-Underflow,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,9301,81,9382,5.7259,False,0.03801
Overflow-Underflow,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,9499,73,9572,5.3643,False,0.038722
Overflow-Underflow,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,9090,79,9169,5.6185,False,0.037146
Overflow-Underflow,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,9334,55,9389,5.8663,False,0.037882
Overflow-Underflow,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,9817,79,9896,6.3729,False,0.040054
Overflow-Underflow,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,9248,61,9309,5.7747,False,0.037598
Overflow-Underflow,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,8457,61,8518,5.7293,False,0.034434
Overflow-Underflow,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,8952,69,9021,5.8867,False,0.036494
Overflow-Underflow,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,9144,81,9225,8.8978,False,0.037382
Overflow-Underflow,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,8517,55,8572,4.5888,False,0.034614
Overflow-Underflow,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,8826,81,8907,7.4767,False,0.03611
Overflow-Underflow,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,5396,45,5441,5.0738,False,0.02203
Overflow-Underflow,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,8812,77,8889,7.0906,False,0.036014
Overflow-Underflow,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,9322,73,9395,5.3166,False,0.038014
Overflow-Underflow,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,9133,49,9182,4.8973,False,0.037018
Overflow-Underflow,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,10427,77,10504,6.4453,False,0.042474
Overflow-Underflow,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,9072,79,9151,5.7988,False,0.037074
Overflow-Underflow,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,9357,61,9418,5.9295,False,0.038034
Overflow-Underflow,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,9156,81,9237,5.6352,False,0.03743
Overflow-Underflow,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,5368,43,5411,5.8572,False,0.021898
Overflow-Underflow,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,9050,25,9075,4.7775,False,0.036446
Overflow-Underflow,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,9398,53,9451,6.2302,False,0.038118
Overflow-Underflow,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,9257,73,9330,4.7589,False,0.037754
Overflow-Underflow,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,8595,81,8676,5.5951,False,0.035186
Overflow-Underflow,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,8626,81,8707,5.2856,False,0.03531
Overflow-Underflow,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,9080,81,9161,7.0598,False,0.037126
Overflow-Underflow,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,3532,15,3547,5.0963,False,0.014274
Overflow-Underflow,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,8958,79,9037,6.1903,False,0.036618
Overflow-Underflow,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,9521,65,9586,6.8969,False,0.03873
Overflow-Underflow,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,5307,41,5348,5.2511,False,0.021634
Overflow-Underflow,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,7713,71,7784,5.4207,False,0.031558
