label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
TOD,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,7958,81,8039,6.4509,False,0.032638
TOD,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,7659,81,7740,6.5732,False,0.031442
TOD,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,7900,81,7981,6.5708,False,0.032406
TOD,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,8155,51,8206,5.3792,False,0.033126
TOD,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,7653,81,7734,7.1444,False,0.031418
TOD,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,8314,81,8395,5.7292,False,0.034062
TOD,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,7662,81,7743,5.6858,False,0.031454
TOD,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,7145,75,7220,6.4689,False,0.029326
TOD,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,8216,81,8297,6.712,False,0.03367
TOD,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,7528,69,7597,6.4656,False,0.030798
TOD,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,6626,67,6693,8.4366,False,0.02717
TOD,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,7769,81,7850,6.4114,False,0.031882
TOD,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,7805,81,7886,7.1305,False,0.032026
TOD,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,6384,63,6447,6.4086,False,0.026162
TOD,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,7369,85,7454,5.936,False,0.030322
TOD,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,5438,45,5483,18.3427,False,0.022198
TOD,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,6231,63,6294,6.3359,False,0.02555
TOD,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,7302,75,7377,6.4741,False,0.029954
TOD,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,7552,81,7633,6.123,False,0.031014
TOD,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,8042,67,8109,4.644,False,0.032834
TOD,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,7656,81,7737,5.8198,False,0.03143
TOD,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,7563,81,7644,5.2308,False,0.031058
TOD,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,7827,81,7908,5.7499,False,0.032114
TOD,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,3993,33,4026,5.1336,False,0.016298
TOD,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,6726,69,6795,5.9468,False,0.02759
TOD,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,5388,53,5441,5.1336,False,0.022078
TOD,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,7288,75,7363,5.2492,False,0.029898
TOD,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,7233,81,7314,7.5866,False,0.029738
TOD,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,7351,81,7432,5.4477,False,0.03021
TOD,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,7785,81,7866,5.7015,False,0.031946
TOD,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,2705,19,2724,5.028,False,0.011006
TOD,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,7770,81,7851,5.823,False,0.031886
TOD,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,7722,81,7803,5.2282,False,0.031694
TOD,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,3943,33,3976,5.3726,False,0.016098
TOD,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,6835,73,6908,5.7859,False,0.028066
