label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Timestamp-Dependency,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,10197,81,10278,5.562,False,0.041594
Timestamp-Dependency,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,9652,81,9733,5.8103,False,0.039414
Timestamp-Dependency,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,10253,81,10334,6.0354,False,0.041818
Timestamp-Dependency,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,9870,81,9951,7.7602,False,0.040286
Timestamp-Dependency,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,9986,81,10067,5.2118,False,0.04075
Timestamp-Dependency,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,10118,81,10199,5.5172,False,0.041278
Timestamp-Dependency,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,10382,81,10463,5.8207,False,0.042334
Timestamp-Dependency,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,9176,77,9253,6.877,False,0.03747
Timestamp-Dependency,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,10495,81,10576,5.8115,False,0.042786
Timestamp-Dependency,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,10504,65,10569,7.8553,False,0.042662
Timestamp-Dependency,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,9291,71,9362,6.0802,False,0.03787
Timestamp-Dependency,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,10094,81,10175,6.2213,False,0.041182
Timestamp-Dependency,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,10015,81,10096,7.0118,False,0.040866
Timestamp-Dependency,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,8444,67,8511,4.9325,False,0.034442
Timestamp-Dependency,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,8991,81,9072,6.2389,False,0.03677
Timestamp-Dependency,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,6180,43,6223,5.4055,False,0.025146
Timestamp-Dependency,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,8442,59,8501,5.5619,False,0.034354
Timestamp-Dependency,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,10462,81,10543,6.8722,False,0.042654
Timestamp-Dependency,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,9336,81,9417,5.3464,False,0.03815
Timestamp-Dependency,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,11370,81,11451,5.2959,False,0.046286
Timestamp-Dependency,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,10361,81,10442,7.4642,False,0.04225
Timestamp-Dependency,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,9814,81,9895,6.9665,False,0.040062
Timestamp-Dependency,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,10066,67,10133,5.6913,False,0.04093
Timestamp-Dependency,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,4131,27,4158,4.6516,False,0.01679
Timestamp-Dependency,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,8987,71,9058,5.3641,False,0.036654
Timestamp-Dependency,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,6358,41,6399,5.7222,False,0.025838
Timestamp-Dependency,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,10374,81,10455,6.0269,False,0.042302
Timestamp-Dependency,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,9176,81,9257,5.8356,False,0.03751
Timestamp-Dependency,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,9236,81,9317,5.6081,False,0.03775
Timestamp-Dependency,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,10184,79,10263,5.2119,False,0.041522
Timestamp-Dependency,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,3004,17,3021,5.724,False,0.012182
Timestamp-Dependency,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,9450,81,9531,6.2706,False,0.038606
Timestamp-Dependency,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,10336,81,10417,8.4511,False,0.04215
Timestamp-Dependency,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,4079,27,4106,5.6853,False,0.016582
Timestamp-Dependency,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,9173,81,9254,6.5833,False,0.037498
