label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Unhandled-Exceptions,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,8966,81,9047,5.024,False,0.03667
Unhandled-Exceptions,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,6457,61,6518,5.387,False,0.026434
Unhandled-Exceptions,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,9002,77,9079,5.3657,False,0.036774
Unhandled-Exceptions,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,8711,39,8750,5.9359,False,0.03523
Unhandled-Exceptions,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,7220,67,7287,5.3548,False,0.029546
Unhandled-Exceptions,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,7275,63,7338,6.464,False,0.029726
Unhandled-Exceptions,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,7907,57,7964,5.2347,False,0.032194
Unhandled-Exceptions,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,5712,53,5765,6.7023,False,0.023374
Unhandled-Exceptions,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,9375,75,9450,6.1312,False,0.038246
Unhandled-Exceptions,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,6720,49,6769,5.2147,False,0.027366
Unhandled-Exceptions,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,5424,47,5471,5.6933,False,0.022162
Unhandled-Exceptions,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,8689,81,8770,5.7465,False,0.035562
Unhandled-Exceptions,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,6462,59,6521,5.4457,False,0.026434
Unhandled-Exceptions,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,4931,43,4974,5.2911,False,0.02015
Unhandled-Exceptions,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,7945,79,8024,6.0301,False,0.032566
Unhandled-Exceptions,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,3836,31,3867,5.219,False,0.01565
Unhandled-Exceptions,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,5022,43,5065,5.618,False,0.020514
Unhandled-Exceptions,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,6128,53,6181,5.6305,False,0.025038
Unhandled-Exceptions,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,7327,71,7398,6.5557,False,0.030014
Unhandled-Exceptions,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,9193,75,9268,7.3373,False,0.037518
Unhandled-Exceptions,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,7898,75,7973,6.6755,False,0.032338
Unhandled-Exceptions,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,7775,73,7848,9.6106,False,0.031826
Unhandled-Exceptions,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,6510,59,6569,5.2823,False,0.026626
Unhandled-Exceptions,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,3332,23,3355,6.6564,False,0.013554
Unhandled-Exceptions,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,5344,49,5393,5.1938,False,0.021862
Unhandled-Exceptions,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,4143,35,4178,5.3223,False,0.016918
Unhandled-Exceptions,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,6105,51,6156,5.7767,False,0.024926
Unhandled-Exceptions,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,5785,59,5844,6.097,False,0.023726
Unhandled-Exceptions,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,6028,61,6089,6.3104,False,0.024718
Unhandled-Exceptions,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,6416,59,6475,6.0076,False,0.02625
Unhandled-Exceptions,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,2565,15,2580,4.823,False,0.010406
Unhandled-Exceptions,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,8200,81,8281,6.529,False,0.033606
Unhandled-Exceptions,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,7462,67,7529,5.9172,False,0.030514
Unhandled-Exceptions,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,3272,23,3295,5.007,False,0.013314
Unhandled-Exceptions,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,5297,53,5350,5.2589,False,0.021714
