label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
tx.origin,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,10018,81,10099,7.146,False,0.040878
tx.origin,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,7265,61,7326,7.2622,False,0.029666
tx.origin,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,9833,81,9914,9.5341,False,0.040138
tx.origin,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,7078,57,7135,24.0848,False,0.028878
tx.origin,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,7416,63,7479,9.6584,False,0.03029
tx.origin,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,6912,55,6967,11.0912,False,0.028194
tx.origin,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,8696,73,8769,11.0672,False,0.03551
tx.origin,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,6295,53,6348,10.1122,False,0.025706
tx.origin,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,10046,81,10127,8.8577,False,0.04099
tx.origin,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,6818,43,6861,8.1083,False,0.027698
tx.origin,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,6058,47,6105,8.0169,False,0.024698
tx.origin,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,9654,81,9735,13.1946,False,0.039422
tx.origin,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,7178,59,7237,12.2251,False,0.029298
tx.origin,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,4909,39,4948,9.5017,False,0.020022
tx.origin,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,8370,81,8451,9.0567,False,0.034286
tx.origin,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,4394,33,4427,8.4467,False,0.017902
tx.origin,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,5673,43,5716,7.4634,False,0.023118
tx.origin,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,6542,51,6593,10.9084,False,0.026674
tx.origin,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,8049,73,8122,12.7435,False,0.032922
tx.origin,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,9497,69,9566,7.7675,False,0.038674
tx.origin,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,8671,73,8744,8.1669,False,0.03541
tx.origin,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,8553,71,8624,7.9119,False,0.034918
tx.origin,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,7229,59,7288,8.5595,False,0.029502
tx.origin,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,3616,23,3639,7.9269,False,0.01469
tx.origin,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,5835,49,5884,15.6958,False,0.023826
tx.origin,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,4578,35,4613,7.3812,False,0.018658
tx.origin,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,6510,51,6561,8.6709,False,0.026546
tx.origin,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,6213,59,6272,5.9862,False,0.025438
tx.origin,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,6534,61,6595,6.1354,False,0.026742
tx.origin,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,6920,57,6977,8.6416,False,0.028246
tx.origin,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,2556,15,2571,6.0296,False,0.01037
tx.origin,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,8950,81,9031,7.6755,False,0.036606
tx.origin,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,8218,65,8283,7.7884,False,0.033518
tx.origin,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,3560,23,3583,4.9277,False,0.014466
tx.origin,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,5621,51,5672,6.3421,False,0.02299
