filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,1,1.0,0.3591549295774648,0.5284974093264249,1.0,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.989769820971867
buggy_2.sol,warmup,1,1,0.8910891089108911,0.2903225806451613,0.43795620437956206,0.8910891089108911,0.8823529411764706,0.75,0.8108108108108107,0.9682539682539683
buggy_3.sol,warmup,1,1,1.0,0.29411764705882354,0.45454545454545453,1.0,0.9375,0.7142857142857143,0.8108108108108109,0.9694989106753813
buggy_4.sol,warmup,1,1,0.9333333333333333,0.29577464788732394,0.44919786096256686,0.9333333333333333,0.8709677419354839,0.75,0.8059701492537312,0.9679012345679012
buggy_5.sol,warmup,1,1,0.9788732394366197,0.2938689217758985,0.45203252032520325,0.9788732394366197,0.9375,0.7258064516129032,0.8181818181818181,0.9724896836313618
buggy_6.sol,eval,1,1,1.0,0.4217391304347826,0.5932721712538226,1.0,0.8108108108108109,1.0,0.8955223880597014,0.9776
buggy_7.sol,eval,1,1,1.0,0.2854122621564482,0.44407894736842113,1.0,1.0,0.7258064516129032,0.8411214953271028,0.9735202492211839
buggy_8.sol,eval,1,1,1.0,0.5687103594080338,0.7250673854447439,1.0,0.6888888888888889,1.0,0.8157894736842105,0.9614855570839065
buggy_9.sol,eval,1,1,0.9409282700421941,0.6160220994475138,0.7445742904841403,0.9409282700421941,0.5581395348837209,1.0,0.7164179104477612,0.9382113821138212
buggy_10.sol,eval,1,1,1.0,0.45614035087719296,0.6265060240963854,1.0,0.8,1.0,0.888888888888889,0.9745222929936306
buggy_11.sol,eval,1,1,0.9875389408099688,0.6701902748414377,0.7984886649874056,0.9875389408099688,0.5700934579439252,0.9838709677419355,0.7218934911242603,0.9298507462686567
buggy_12.sol,eval,1,1,0.9636363636363636,0.29174311926605506,0.447887323943662,0.9636363636363636,0.8727272727272727,0.6666666666666666,0.7559055118110236,0.9637850467289719
buggy_13.sol,eval,1,1,1.0,0.8045112781954887,0.8916666666666667,1.0,0.3953488372093023,1.0,0.5666666666666667,0.8790697674418605
buggy_14.sol,eval,1,1,1.0,0.39285714285714285,0.5641025641025641,1.0,1.0,1.0,1.0,1.0
buggy_15.sol,eval,1,1,1.0,0.7443609022556391,0.8534482758620691,1.0,0.4358974358974359,1.0,0.6071428571428571,0.8976744186046511
buggy_16.sol,eval,1,1,1.0,0.2903225806451613,0.45000000000000007,1.0,0.95,0.7125,0.8142857142857143,0.9703196347031964
buggy_17.sol,eval,1,1,1.0,0.391304347826087,0.5625,1.0,0.75,0.75,0.75,0.9551569506726457
buggy_18.sol,eval,1,1,0.9833333333333333,0.2915980230642504,0.4498094027954257,0.9833333333333333,0.9666666666666667,0.725,0.8285714285714285,0.9766990291262136
buggy_19.sol,eval,1,1,0.7652582159624414,0.7688679245283019,0.7670588235294118,0.7652582159624414,0.35443037974683544,1.0,0.5233644859813084,0.8421052631578947
buggy_20.sol,eval,1,1,1.0,0.2854122621564482,0.44407894736842113,1.0,1.0,0.7258064516129032,0.8411214953271028,0.978343949044586
buggy_21.sol,eval,1,1,0.8888888888888888,0.23645320197044334,0.37354085603112835,0.8888888888888888,0.8611111111111112,0.5740740740740741,0.6888888888888889,0.9631093544137023
buggy_22.sol,eval,1,1,0.9832402234636871,0.3182640144665461,0.48087431693989074,0.9832402234636871,0.7464788732394366,0.7361111111111112,0.7412587412587414,0.9606382978723405
buggy_23.sol,eval,1,1,1.0,0.3969465648854962,0.5683060109289617,1.0,1.0,1.0,1.0,1.0
buggy_24.sol,eval,1,1,0.9954545454545455,0.3532258064516129,0.5214285714285715,0.9954545454545455,0.8648648648648649,0.8,0.8311688311688312,0.9809802487198245
buggy_25.sol,eval,1,1,0.7125,0.35294117647058826,0.4720496894409939,0.7125,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.9254302103250478
buggy_26.sol,eval,1,1,0.96,0.42857142857142855,0.5925925925925924,0.96,0.6140350877192983,0.7608695652173914,0.679611650485437,0.9334677419354839
buggy_27.sol,eval,1,1,1.0,0.3774193548387097,0.5480093676814989,1.0,0.5512820512820513,0.5375,0.5443037974683544,0.925
buggy_28.sol,eval,1,1,1.0,0.2850678733031674,0.44366197183098594,1.0,1.0,0.7241379310344828,0.8400000000000001,0.9750390015600624
buggy_29.sol,eval,1,1,0.8977272727272727,0.265993265993266,0.4103896103896104,0.8977272727272727,0.6764705882352942,0.6052631578947368,0.6388888888888888,0.9575856443719413
buggy_30.sol,eval,1,1,1.0,0.2903225806451613,0.45000000000000007,1.0,0.3333333333333333,0.25,0.28571428571428575,0.9250936329588015
buggy_31.sol,eval,1,1,0.9487179487179487,0.6434782608695652,0.7668393782383418,0.9487179487179487,0.0958904109589041,0.23333333333333334,0.13592233009708737,0.8030973451327433
buggy_32.sol,eval,1,1,0.9058823529411765,0.47678018575851394,0.6247464503042596,0.9058823529411765,0.16901408450704225,0.2857142857142857,0.21238938053097345,0.8122362869198312
buggy_33.sol,eval,1,1,0.9,0.33157894736842103,0.48461538461538456,0.9,0.20588235294117646,0.28,0.23728813559322035,0.8245614035087719
buggy_34.sol,eval,1,1,0.8900523560209425,0.3074141048824593,0.45698924731182794,0.8900523560209425,0.22077922077922077,0.2361111111111111,0.22818791946308725,0.8852295409181636
buggy_35.sol,eval,1,1,1.0,0.28735632183908044,0.4464285714285714,1.0,0.36,0.2647058823529412,0.30508474576271183,0.9060710194730813
buggy_36.sol,eval,1,1,0.9,0.39059674502712477,0.544766708701135,0.9,0.34,0.4722222222222222,0.39534883720930236,0.8893617021276595
buggy_37.sol,eval,1,1,1.0,0.28598130841121494,0.44476744186046513,1.0,0.37254901960784315,0.2714285714285714,0.31404958677685957,0.8913612565445026
buggy_38.sol,eval,1,1,1.0,0.5090497737556561,0.6746626686656672,1.0,0.36470588235294116,0.5344827586206896,0.4335664335664336,0.8736349453978159
buggy_39.sol,eval,1,1,1.0,0.9047619047619048,0.9500000000000001,1.0,0.16,0.5454545454545454,0.24742268041237112,0.6741071428571429
buggy_40.sol,eval,1,1,0.9142857142857143,0.7071823204419889,0.7975077881619937,0.9142857142857143,0.28,0.5833333333333334,0.3783783783783784,0.8892900120336944
