filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,1,0.9629629629629629,0.5591397849462365,0.7074829931972789,0.9629629629629629,1.0,1.0,1.0,1.0
buggy_2.sol,warmup,1,1,0.9649122807017544,0.4954954954954955,0.6547619047619048,0.9649122807017544,1.0,0.95,0.9743589743589743,0.9958677685950413
buggy_3.sol,warmup,1,1,0.9666666666666667,0.5087719298245614,0.6666666666666667,0.9666666666666667,1.0,0.9523809523809523,0.975609756097561,0.996
buggy_4.sol,warmup,1,1,0.9629629629629629,0.5591397849462365,0.7074829931972789,0.9629629629629629,1.0,1.0,1.0,1.0
buggy_5.sol,warmup,1,1,0.956989247311828,0.5741935483870968,0.717741935483871,0.956989247311828,0.967741935483871,0.967741935483871,0.967741935483871,0.9951100244498777
buggy_6.sol,eval,1,1,0.9555555555555556,0.5850340136054422,0.7257383966244726,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9935897435897436
buggy_7.sol,eval,1,1,0.9555555555555556,0.5548387096774193,0.7020408163265306,0.9555555555555556,0.9333333333333333,0.9032258064516129,0.9180327868852459,0.9845679012345679
buggy_8.sol,eval,1,1,0.9175257731958762,0.5741935483870968,0.7063492063492064,0.9175257731958762,0.9090909090909091,0.967741935483871,0.9374999999999999,0.9902200488997555
buggy_9.sol,eval,1,1,0.9333333333333333,0.546875,0.689655172413793,0.9333333333333333,0.96,1.0,0.9795918367346939,0.9973753280839895
buggy_10.sol,eval,1,1,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.9583333333333334,1.0,1.0,1.0,1.0
buggy_11.sol,eval,1,1,0.956989247311828,0.5741935483870968,0.717741935483871,0.956989247311828,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9886363636363636
buggy_12.sol,eval,1,1,0.8373983739837398,0.6058823529411764,0.7030716723549487,0.8373983739837398,0.8048780487804879,0.9166666666666666,0.8571428571428571,0.9760869565217392
buggy_13.sol,eval,1,1,0.9074074074074074,0.5444444444444444,0.6805555555555556,0.9074074074074074,0.9444444444444444,1.0,0.9714285714285714,0.9960629921259843
buggy_14.sol,eval,1,1,0.9696969696969697,0.5378151260504201,0.6918918918918919,0.9696969696969697,1.0,1.0,1.0,1.0
buggy_15.sol,eval,1,1,0.9607843137254902,0.5444444444444444,0.6950354609929078,0.9607843137254902,1.0,1.0,1.0,1.0
buggy_16.sol,eval,1,1,0.9411764705882353,0.6336633663366337,0.7573964497041421,0.9411764705882353,0.7692307692307693,0.9523809523809523,0.8510638297872339,0.9694323144104804
buggy_17.sol,eval,1,1,0.845360824742268,0.5578231292517006,0.6721311475409837,0.845360824742268,0.7878787878787878,0.8666666666666667,0.8253968253968254,0.9691011235955056
buggy_18.sol,eval,1,1,0.88,0.5477178423236515,0.6751918158567775,0.88,0.86,0.8113207547169812,0.8349514563106797,0.9736842105263158
buggy_19.sol,eval,1,1,0.8602150537634409,0.5755395683453237,0.689655172413793,0.8602150537634409,0.8387096774193549,0.9285714285714286,0.8813559322033899,0.9806094182825484
buggy_20.sol,eval,1,1,0.8811881188118812,0.5741935483870968,0.6953125000000001,0.8811881188118812,0.8571428571428571,0.967741935483871,0.909090909090909,0.987152034261242
buggy_21.sol,eval,1,1,0.8333333333333334,0.5514705882352942,0.6637168141592921,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.9856850715746421
buggy_22.sol,eval,1,1,0.9,0.5755813953488372,0.7021276595744681,0.9,0.8108108108108109,0.8333333333333334,0.8219178082191781,0.9767441860465116
buggy_23.sol,eval,1,1,0.9615384615384616,0.5639097744360902,0.7109004739336493,0.9615384615384616,1.0,1.0,1.0,1.0
buggy_24.sol,eval,1,1,0.8689655172413793,0.5338983050847458,0.6614173228346457,0.8689655172413793,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9847405900305188
buggy_25.sol,eval,1,1,0.9206349206349206,0.5087719298245614,0.655367231638418,0.9206349206349206,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9936305732484076
buggy_26.sol,eval,1,1,0.9682539682539683,0.5,0.6594594594594594,0.9682539682539683,1.0,0.9130434782608695,0.9545454545454545,0.9925650557620818
buggy_27.sol,eval,1,1,0.9565217391304348,0.5789473684210527,0.721311475409836,0.9565217391304348,0.9565217391304348,0.9361702127659575,0.9462365591397849,0.9911971830985915
buggy_28.sol,eval,1,1,0.9222222222222223,0.5763888888888888,0.7094017094017094,0.9222222222222223,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9912536443148688
buggy_29.sol,eval,1,1,0.9649122807017544,0.5392156862745098,0.6918238993710691,0.9649122807017544,1.0,1.0,1.0,1.0
buggy_30.sol,eval,1,1,0.8614457831325302,0.6059322033898306,0.7114427860696518,0.8614457831325302,0.5737704918032787,0.7291666666666666,0.6422018348623854,0.9589905362776026
buggy_31.sol,eval,1,1,0.9743589743589743,0.5,0.6608695652173913,0.9743589743589743,1.0,0.8666666666666667,0.9285714285714286,0.9932885906040269
buggy_32.sol,eval,1,1,0.9833333333333333,0.5175438596491229,0.6781609195402298,0.9833333333333333,1.0,0.9523809523809523,0.975609756097561,0.9962264150943396
buggy_33.sol,eval,1,1,0.92,0.5307692307692308,0.6731707317073171,0.92,0.96,0.96,0.96,0.9923954372623575
buggy_34.sol,eval,1,1,0.8174603174603174,0.5988372093023255,0.6912751677852348,0.8174603174603174,0.8095238095238095,0.9444444444444444,0.8717948717948718,0.9838969404186796
buggy_35.sol,eval,1,1,0.9595959595959596,0.5792682926829268,0.7224334600760455,0.9595959595959596,0.9696969696969697,0.9411764705882353,0.955223880597015,0.9941747572815534
buggy_36.sol,eval,1,1,0.9279279279279279,0.5988372093023255,0.7279151943462896,0.9279279279279279,0.918918918918919,0.9444444444444444,0.9315068493150684,0.9910554561717353
buggy_37.sol,eval,1,1,0.8333333333333334,0.5988023952095808,0.6968641114982578,0.8333333333333334,0.7857142857142857,0.9428571428571428,0.8571428571428571,0.9722222222222222
buggy_38.sol,eval,1,1,0.9540229885057471,0.5763888888888888,0.7186147186147185,0.9540229885057471,0.896551724137931,0.896551724137931,0.896551724137931,0.9825072886297376
buggy_39.sol,eval,1,1,0.9333333333333333,0.49122807017543857,0.6436781609195402,0.9333333333333333,1.0,0.9090909090909091,0.9523809523809523,0.9911504424778761
buggy_40.sol,eval,1,1,0.9722222222222222,0.546875,0.7,0.9722222222222222,1.0,1.0,1.0,1.0
buggy_41.sol,eval,1,1,0.9074074074074074,0.5444444444444444,0.6805555555555556,0.9074074074074074,0.9444444444444444,1.0,0.9714285714285714,0.9961240310077519
buggy_42.sol,eval,1,1,0.9230769230769231,0.5538461538461539,0.6923076923076924,0.9230769230769231,0.9615384615384616,1.0,0.9803921568627451,0.9961832061068703
buggy_43.sol,eval,1,1,0.9545454545454546,0.5833333333333334,0.7241379310344828,0.9545454545454546,0.9,0.9310344827586207,0.9152542372881356,0.9884526558891455
buggy_44.sol,eval,1,1,0.8958333333333334,0.5850340136054422,0.7078189300411523,0.8958333333333334,0.90625,0.9666666666666667,0.9354838709677419,0.9910913140311804
buggy_45.sol,eval,1,1,0.9080459770114943,0.5683453237410072,0.6991150442477876,0.9080459770114943,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9765886287625418
buggy_46.sol,eval,1,1,0.9523809523809523,0.5,0.6557377049180327,0.9523809523809523,1.0,1.0,1.0,1.0
buggy_47.sol,eval,1,1,0.9186991869918699,0.5916230366492147,0.7197452229299363,0.9186991869918699,0.9024390243902439,0.925,0.9135802469135802,0.9832535885167464
buggy_48.sol,eval,1,1,0.8425925925925926,0.5759493670886076,0.6842105263157895,0.8425925925925926,0.8333333333333334,0.9375,0.8823529411764706,0.9796954314720813
buggy_49.sol,eval,1,1,0.9393939393939394,0.543859649122807,0.688888888888889,0.9393939393939394,1.0,1.0,1.0,1.0
buggy_50.sol,eval,1,1,0.96,0.5538461538461539,0.7024390243902439,0.96,1.0,1.0,1.0,1.0
