label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Unhandled-Exceptions,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,12661,101,12762,8.3594,False,0.05165
Unhandled-Exceptions,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,6900,63,6963,5.2791,False,0.028226
Unhandled-Exceptions,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,9038,71,9109,7.2464,False,0.036858
Unhandled-Exceptions,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,10526,61,10587,6.2677,False,0.04271
Unhandled-Exceptions,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,10301,75,10376,6.7403,False,0.04195
Unhandled-Exceptions,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,9180,53,9233,5.4802,False,0.037246
Unhandled-Exceptions,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,19510,99,19609,5.6745,False,0.079026
Unhandled-Exceptions,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,7856,43,7899,5.5117,False,0.03185
Unhandled-Exceptions,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,5718,43,5761,6.6635,False,0.023298
Unhandled-Exceptions,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,10385,93,10478,6.9289,False,0.042466
Unhandled-Exceptions,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,6842,61,6903,5.2257,False,0.027974
Unhandled-Exceptions,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,7768,39,7807,5.2546,False,0.031458
Unhandled-Exceptions,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,14222,123,14345,6.5979,False,0.058114
Unhandled-Exceptions,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,6263,27,6290,5.8835,False,0.025318
Unhandled-Exceptions,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,5650,41,5691,5.1526,False,0.023006
Unhandled-Exceptions,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,5588,51,5639,5.0816,False,0.022858
Unhandled-Exceptions,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,10806,85,10891,6.4713,False,0.04407
Unhandled-Exceptions,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,11043,67,11110,5.5191,False,0.044838
Unhandled-Exceptions,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,10253,75,10328,5.4156,False,0.041758
Unhandled-Exceptions,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,7781,85,7866,6.9742,False,0.03197
Unhandled-Exceptions,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,6883,59,6942,5.566,False,0.028118
Unhandled-Exceptions,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,3162,21,3183,5.3556,False,0.012854
Unhandled-Exceptions,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,10706,49,10755,5.8308,False,0.04331
Unhandled-Exceptions,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,5494,37,5531,6.333,False,0.022342
Unhandled-Exceptions,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,5490,53,5543,9.3192,False,0.022486
Unhandled-Exceptions,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,7595,61,7656,6.1345,False,0.030986
Unhandled-Exceptions,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,7930,65,7995,6.7423,False,0.032366
Unhandled-Exceptions,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,5717,59,5776,6.5011,False,0.023454
Unhandled-Exceptions,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,4374,15,4389,4.7535,False,0.017642
Unhandled-Exceptions,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,7641,83,7724,5.6216,False,0.03139
Unhandled-Exceptions,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,8028,73,8101,6.881,False,0.032838
Unhandled-Exceptions,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,3101,23,3124,5.2879,False,0.01263
Unhandled-Exceptions,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,5470,51,5521,6.0104,False,0.022386
