label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Overflow-Underflow,buggy_1.sol,1,prediction,claude_cli,claude-sonnet-5,8106,65,8171,4.4363,False,0.03307
Overflow-Underflow,buggy_1.sol,1,feedback_rule,claude_cli,claude-sonnet-5,827,91,918,4.6565,False,0.002564
Overflow-Underflow,buggy_1.sol,2,prediction,claude_cli,claude-sonnet-5,11447,63,11510,4.9022,False,0.046414
Overflow-Underflow,buggy_1.sol,2,feedback_rule,claude_cli,claude-sonnet-5,807,97,904,5.3975,False,0.002584
Overflow-Underflow,buggy_1.sol,3,prediction,claude_cli,claude-sonnet-5,11429,63,11492,4.7707,False,0.046342
Overflow-Underflow,buggy_1.sol,3,feedback_rule,claude_cli,claude-sonnet-5,804,77,881,5.5117,False,0.002378
Overflow-Underflow,buggy_2.sol,1,prediction,claude_cli,claude-sonnet-5,8966,79,9045,5.4621,False,0.03665
Overflow-Underflow,buggy_2.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1078,74,1152,5.0948,False,0.005048
Overflow-Underflow,buggy_2.sol,2,prediction,claude_cli,claude-sonnet-5,12443,79,12522,5.1488,False,0.050558
Overflow-Underflow,buggy_2.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1083,71,1154,9.5921,False,0.005038
Overflow-Underflow,buggy_2.sol,3,prediction,claude_cli,claude-sonnet-5,12444,73,12517,4.6359,False,0.050502
Overflow-Underflow,buggy_2.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1088,64,1152,3.9388,False,0.004988
Overflow-Underflow,buggy_3.sol,1,prediction,claude_cli,claude-sonnet-5,9161,75,9236,5.8979,False,0.03739
Overflow-Underflow,buggy_3.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1089,105,1194,4.9679,False,0.005402
Overflow-Underflow,buggy_3.sol,2,prediction,claude_cli,claude-sonnet-5,12714,81,12795,4.3908,False,0.051662
Overflow-Underflow,buggy_3.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1082,90,1172,4.9545,False,0.005224
Overflow-Underflow,buggy_3.sol,3,prediction,claude_cli,claude-sonnet-5,12709,79,12788,5.1091,False,0.051622
Overflow-Underflow,buggy_3.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1088,86,1174,5.1096,False,0.005208
Overflow-Underflow,buggy_4.sol,1,prediction,claude_cli,claude-sonnet-5,9387,81,9468,5.1374,False,0.038354
Overflow-Underflow,buggy_4.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1083,54,1137,5.1307,False,0.004868
Overflow-Underflow,buggy_4.sol,2,prediction,claude_cli,claude-sonnet-5,12529,75,12604,5.4478,False,0.050862
Overflow-Underflow,buggy_4.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1077,66,1143,4.9605,False,0.004964
Overflow-Underflow,buggy_4.sol,3,prediction,claude_cli,claude-sonnet-5,12529,81,12610,6.584,False,0.050922
Overflow-Underflow,buggy_4.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1083,64,1147,4.3986,False,0.004968
Overflow-Underflow,buggy_5.sol,1,prediction,claude_cli,claude-sonnet-5,9682,57,9739,4.3958,False,0.039294
Overflow-Underflow,buggy_5.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1081,80,1161,4.9396,False,0.00512
Overflow-Underflow,buggy_5.sol,2,prediction,claude_cli,claude-sonnet-5,13100,57,13157,4.3151,False,0.052966
Overflow-Underflow,buggy_5.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1094,77,1171,4.5626,False,0.005142
Overflow-Underflow,buggy_5.sol,3,prediction,claude_cli,claude-sonnet-5,13072,81,13153,4.3822,False,0.053094
Overflow-Underflow,buggy_5.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1081,76,1157,4.7079,False,0.00508
Overflow-Underflow,buggy_6.sol,1,prediction,claude_cli,claude-sonnet-5,8684,81,8765,4.5725,False,0.035542
Overflow-Underflow,buggy_6.sol,2,prediction,claude_cli,claude-sonnet-5,9054,81,9135,4.9627,False,0.037022
Overflow-Underflow,buggy_7.sol,1,prediction,claude_cli,claude-sonnet-5,8891,81,8972,4.544,False,0.03637
Overflow-Underflow,buggy_7.sol,2,prediction,claude_cli,claude-sonnet-5,9122,81,9203,5.3717,False,0.037294
Overflow-Underflow,buggy_8.sol,1,prediction,claude_cli,claude-sonnet-5,9832,69,9901,5.5182,False,0.040014
Overflow-Underflow,buggy_8.sol,2,prediction,claude_cli,claude-sonnet-5,10135,57,10192,4.7141,False,0.041106
Overflow-Underflow,buggy_8.sol,3,prediction,claude_cli,claude-sonnet-5,10140,63,10203,5.0093,False,0.041186
Overflow-Underflow,buggy_9.sol,1,prediction,claude_cli,claude-sonnet-5,9247,65,9312,5.7706,False,0.037634
Overflow-Underflow,buggy_9.sol,2,prediction,claude_cli,claude-sonnet-5,9495,65,9560,5.103,False,0.038626
Overflow-Underflow,buggy_10.sol,1,prediction,claude_cli,claude-sonnet-5,3272,17,3289,4.432,False,0.013254
Overflow-Underflow,buggy_10.sol,2,prediction,claude_cli,claude-sonnet-5,3491,17,3508,4.4207,False,0.01413
Overflow-Underflow,buggy_11.sol,1,prediction,claude_cli,claude-sonnet-5,9138,71,9209,5.8831,False,0.037258
Overflow-Underflow,buggy_11.sol,2,prediction,claude_cli,claude-sonnet-5,9388,71,9459,4.4774,False,0.038258
Overflow-Underflow,buggy_12.sol,1,prediction,claude_cli,claude-sonnet-5,9388,75,9463,7.6808,False,0.038298
Overflow-Underflow,buggy_12.sol,2,prediction,claude_cli,claude-sonnet-5,9638,79,9717,4.8489,False,0.039338
Overflow-Underflow,buggy_13.sol,1,prediction,claude_cli,claude-sonnet-5,9437,77,9514,5.1526,False,0.038514
Overflow-Underflow,buggy_13.sol,2,prediction,claude_cli,claude-sonnet-5,9687,67,9754,4.0012,False,0.039414
Overflow-Underflow,buggy_13.sol,3,prediction,claude_cli,claude-sonnet-5,9695,79,9774,5.9286,False,0.039566
Overflow-Underflow,buggy_14.sol,1,prediction,claude_cli,claude-sonnet-5,7783,67,7850,4.4426,False,0.031798
Overflow-Underflow,buggy_14.sol,2,prediction,claude_cli,claude-sonnet-5,8007,61,8068,4.7712,False,0.032634
Overflow-Underflow,buggy_15.sol,1,prediction,claude_cli,claude-sonnet-5,9501,77,9578,4.7491,False,0.03877
Overflow-Underflow,buggy_15.sol,2,prediction,claude_cli,claude-sonnet-5,9744,77,9821,4.8097,False,0.039742
Overflow-Underflow,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,10001,77,10078,4.144,False,0.04077
Overflow-Underflow,buggy_16.sol,2,prediction,claude_cli,claude-sonnet-5,10247,77,10324,4.7458,False,0.041754
Overflow-Underflow,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,9236,81,9317,4.8149,False,0.03775
Overflow-Underflow,buggy_17.sol,2,prediction,claude_cli,claude-sonnet-5,9405,81,9486,4.7669,False,0.038426
Overflow-Underflow,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,9605,69,9674,3.8999,False,0.039106
Overflow-Underflow,buggy_18.sol,2,prediction,claude_cli,claude-sonnet-5,9897,73,9970,4.4017,False,0.040314
Overflow-Underflow,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,9213,79,9292,4.9754,False,0.037638
Overflow-Underflow,buggy_19.sol,2,prediction,claude_cli,claude-sonnet-5,9437,79,9516,4.3917,False,0.038534
Overflow-Underflow,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,9313,81,9394,4.8672,False,0.038058
Overflow-Underflow,buggy_20.sol,2,prediction,claude_cli,claude-sonnet-5,9510,81,9591,5.4822,False,0.038846
Overflow-Underflow,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,9469,55,9524,5.887,False,0.038422
Overflow-Underflow,buggy_21.sol,2,prediction,claude_cli,claude-sonnet-5,9778,71,9849,5.4232,False,0.039818
Overflow-Underflow,buggy_21.sol,3,prediction,claude_cli,claude-sonnet-5,9790,81,9871,4.4952,False,0.039966
Overflow-Underflow,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,9088,79,9167,6.6099,False,0.037138
Overflow-Underflow,buggy_22.sol,2,prediction,claude_cli,claude-sonnet-5,9351,79,9430,4.1664,False,0.03819
Overflow-Underflow,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,9351,55,9406,4.4703,False,0.03795
Overflow-Underflow,buggy_23.sol,2,prediction,claude_cli,claude-sonnet-5,9605,55,9660,4.9249,False,0.038966
Overflow-Underflow,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,9837,79,9916,4.5546,False,0.040134
Overflow-Underflow,buggy_24.sol,2,prediction,claude_cli,claude-sonnet-5,10068,79,10147,4.506,False,0.041058
Overflow-Underflow,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,9265,61,9326,5.3646,False,0.037666
Overflow-Underflow,buggy_25.sol,2,prediction,claude_cli,claude-sonnet-5,9514,63,9577,4.8533,False,0.038682
Overflow-Underflow,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,8496,61,8557,5.0333,False,0.03459
Overflow-Underflow,buggy_26.sol,2,prediction,claude_cli,claude-sonnet-5,8735,63,8798,5.1534,False,0.035566
Overflow-Underflow,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,8982,69,9051,6.8498,False,0.036614
Overflow-Underflow,buggy_27.sol,2,prediction,claude_cli,claude-sonnet-5,9200,69,9269,5.3659,False,0.037486
Overflow-Underflow,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,9160,81,9241,4.7061,False,0.037446
Overflow-Underflow,buggy_28.sol,2,prediction,claude_cli,claude-sonnet-5,9353,81,9434,5.8836,False,0.038218
Overflow-Underflow,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,8491,55,8546,5.0957,False,0.03451
Overflow-Underflow,buggy_29.sol,2,prediction,claude_cli,claude-sonnet-5,8790,55,8845,5.0214,False,0.035706
Overflow-Underflow,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,8859,81,8940,5.7096,False,0.036242
Overflow-Underflow,buggy_30.sol,2,prediction,claude_cli,claude-sonnet-5,9035,81,9116,5.5407,False,0.036946
Overflow-Underflow,buggy_31.sol,1,prediction,claude_cli,claude-sonnet-5,5364,45,5409,4.354,False,0.021902
Overflow-Underflow,buggy_31.sol,2,prediction,claude_cli,claude-sonnet-5,5603,45,5648,5.0076,False,0.022858
Overflow-Underflow,buggy_32.sol,1,prediction,claude_cli,claude-sonnet-5,8781,57,8838,5.2683,False,0.03569
Overflow-Underflow,buggy_32.sol,2,prediction,claude_cli,claude-sonnet-5,9092,55,9147,5.7252,False,0.036914
Overflow-Underflow,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,9321,73,9394,3.8925,False,0.03801
Overflow-Underflow,buggy_33.sol,2,prediction,claude_cli,claude-sonnet-5,9598,81,9679,4.6846,False,0.039198
Overflow-Underflow,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,9109,49,9158,5.7177,False,0.036922
Overflow-Underflow,buggy_34.sol,2,prediction,claude_cli,claude-sonnet-5,9384,49,9433,4.5259,False,0.038022
Overflow-Underflow,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,10438,77,10515,5.1692,False,0.042518
Overflow-Underflow,buggy_35.sol,2,prediction,claude_cli,claude-sonnet-5,10704,77,10781,5.6475,False,0.043582
Overflow-Underflow,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,9082,79,9161,4.6632,False,0.037114
Overflow-Underflow,buggy_36.sol,2,prediction,claude_cli,claude-sonnet-5,9313,79,9392,4.5481,False,0.038038
Overflow-Underflow,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,9383,71,9454,5.6601,False,0.038238
Overflow-Underflow,buggy_37.sol,2,prediction,claude_cli,claude-sonnet-5,9626,63,9689,4.9842,False,0.03913
Overflow-Underflow,buggy_37.sol,3,prediction,claude_cli,claude-sonnet-5,9649,63,9712,4.6054,False,0.039222
Overflow-Underflow,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,9169,81,9250,3.7603,False,0.037482
