filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,3,0.847457627118644,0.6578947368421053,0.7407407407407407,0.847457627118644,1.0,0.8,0.888888888888889,0.9672131147540983
buggy_2.sol,warmup,2,3,0.8787878787878788,0.651685393258427,0.7483870967741937,0.8787878787878788,1.0,0.8235294117647058,0.9032258064516129,0.9727272727272728
buggy_3.sol,warmup,1,3,0.8873239436619719,0.6428571428571429,0.7455621301775148,0.8873239436619719,1.0,0.8378378378378378,0.911764705882353,0.9743589743589743
buggy_4.sol,warmup,1,3,0.7432432432432432,0.6470588235294118,0.6918238993710691,0.7432432432432432,0.8709677419354839,0.8181818181818182,0.84375,0.9514563106796117
buggy_5.sol,warmup,1,1,0.9009009009009009,0.7142857142857143,0.796812749003984,0.9009009009009009,0.9795918367346939,0.9411764705882353,0.96,0.9898477157360406
buggy_6.sol,eval,2,2,0.9278350515463918,0.656934306569343,0.7692307692307692,0.9278350515463918,1.0,0.8,0.888888888888889,0.9668874172185431
buggy_7.sol,eval,2,2,0.9292929292929293,0.6571428571428571,0.7698744769874477,0.9292929292929293,1.0,0.7843137254901961,0.8791208791208792,0.9644012944983819
buggy_8.sol,eval,1,3,0.8932038834951457,0.6571428571428571,0.757201646090535,0.8932038834951457,0.975609756097561,0.7843137254901961,0.8695652173913043,0.9695431472081218
buggy_9.sol,eval,2,2,0.8888888888888888,0.6557377049180327,0.7547169811320755,0.8888888888888888,1.0,0.8444444444444444,0.9156626506024096,0.9813333333333333
buggy_10.sol,eval,3,3,0.7037037037037037,0.9047619047619048,0.7916666666666667,0.7037037037037037,1.0,1.0,1.0,1.0
buggy_11.sol,eval,3,3,0.912621359223301,0.6482758620689655,0.7580645161290321,0.912621359223301,1.0,0.7547169811320755,0.8602150537634409,0.9619883040935673
buggy_12.sol,eval,2,2,0.9224137931034483,0.5911602209944752,0.7205387205387206,0.9224137931034483,0.95,0.5846153846153846,0.7238095238095238,0.938034188034188
buggy_13.sol,eval,2,2,0.8245614035087719,0.6619718309859155,0.734375,0.8245614035087719,1.0,0.8214285714285714,0.9019607843137255,0.9787234042553191
buggy_14.sol,eval,2,2,0.8717948717948718,0.6355140186915887,0.7351351351351351,0.8717948717948718,1.0,0.85,0.9189189189189189,0.9797297297297297
buggy_15.sol,eval,2,3,0.8245614035087719,0.6619718309859155,0.734375,0.8245614035087719,1.0,0.8214285714285714,0.9019607843137255,0.9787234042553191
buggy_16.sol,eval,2,2,0.95,0.5588235294117647,0.7037037037037037,0.95,1.0,0.5555555555555556,0.7142857142857143,0.9304347826086956
buggy_17.sol,eval,2,2,0.8490566037735849,0.6428571428571429,0.7317073170731708,0.8490566037735849,0.9,0.7058823529411765,0.7912087912087913,0.9455587392550143
buggy_18.sol,eval,3,3,0.923728813559322,0.5093457943925234,0.6566265060240964,0.923728813559322,0.975,0.52,0.6782608695652174,0.9408
buggy_19.sol,eval,2,2,0.8979591836734694,0.6616541353383458,0.7619047619047619,0.8979591836734694,1.0,0.8163265306122449,0.898876404494382,0.9746478873239437
buggy_20.sol,eval,2,2,0.92,0.6571428571428571,0.7666666666666667,0.92,1.0,0.7843137254901961,0.8791208791208792,0.9756637168141593
buggy_21.sol,eval,3,3,0.8958333333333334,0.6615384615384615,0.7610619469026548,0.8958333333333334,1.0,0.8333333333333334,0.9090909090909091,0.9834368530020704
buggy_22.sol,eval,2,2,0.9174311926605505,0.6060606060606061,0.7299270072992701,0.9174311926605505,0.9743589743589743,0.6440677966101694,0.7755102040816326,0.9601449275362319
buggy_23.sol,eval,3,3,0.8888888888888888,0.6557377049180327,0.7547169811320755,0.8888888888888888,1.0,0.8444444444444444,0.9156626506024096,0.9858870967741935
buggy_24.sol,eval,2,2,0.7916666666666666,0.4418604651162791,0.5671641791044777,0.7916666666666666,0.825,0.44,0.5739130434782609,0.9490644490644491
