label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Unchecked-Send,buggy_1.sol,1,prediction,claude_cli,claude-sonnet-5,4789,37,4826,8.7385,False,0.019522
Unchecked-Send,buggy_1.sol,1,feedback_rule,claude_cli,claude-sonnet-5,785,54,839,6.4336,False,0.00211
Unchecked-Send,buggy_1.sol,2,prediction,claude_cli,claude-sonnet-5,6745,37,6782,6.0689,False,0.027346
Unchecked-Send,buggy_1.sol,2,feedback_rule,claude_cli,claude-sonnet-5,783,55,838,5.8904,False,0.002116
Unchecked-Send,buggy_1.sol,3,prediction,claude_cli,claude-sonnet-5,6746,37,6783,7.2814,False,0.02735
Unchecked-Send,buggy_1.sol,3,feedback_rule,claude_cli,claude-sonnet-5,783,68,851,6.0185,False,0.002246
Unchecked-Send,buggy_2.sol,1,prediction,claude_cli,claude-sonnet-5,5059,41,5100,5.4004,False,0.020642
Unchecked-Send,buggy_2.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1009,77,1086,8.0804,False,0.002788
Unchecked-Send,buggy_2.sol,2,prediction,claude_cli,claude-sonnet-5,7347,41,7388,6.4013,False,0.029794
Unchecked-Send,buggy_2.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1011,69,1080,7.9608,False,0.002712
Unchecked-Send,buggy_2.sol,3,prediction,claude_cli,claude-sonnet-5,7342,41,7383,10.512,False,0.029774
Unchecked-Send,buggy_2.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1007,66,1073,5.8528,False,0.002674
Unchecked-Send,buggy_3.sol,1,prediction,claude_cli,claude-sonnet-5,5228,43,5271,5.6013,False,0.021338
Unchecked-Send,buggy_3.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1012,55,1067,5.0588,False,0.002574
Unchecked-Send,buggy_3.sol,2,prediction,claude_cli,claude-sonnet-5,7569,43,7612,5.6725,False,0.030702
Unchecked-Send,buggy_3.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1011,79,1090,6.0013,False,0.002812
Unchecked-Send,buggy_3.sol,3,prediction,claude_cli,claude-sonnet-5,7579,43,7622,5.9064,False,0.030742
Unchecked-Send,buggy_3.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1012,62,1074,7.5677,False,0.002644
Unchecked-Send,buggy_4.sol,1,prediction,claude_cli,claude-sonnet-5,4199,37,4236,6.0571,False,0.017162
Unchecked-Send,buggy_4.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1008,69,1077,5.9082,False,0.002706
Unchecked-Send,buggy_4.sol,2,prediction,claude_cli,claude-sonnet-5,6090,37,6127,5.3656,False,0.024726
Unchecked-Send,buggy_4.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1013,63,1076,6.2045,False,0.002656
Unchecked-Send,buggy_4.sol,3,prediction,claude_cli,claude-sonnet-5,6088,37,6125,5.7383,False,0.024718
Unchecked-Send,buggy_4.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1011,64,1075,6.7735,False,0.002662
Unchecked-Send,buggy_5.sol,1,prediction,claude_cli,claude-sonnet-5,7442,65,7507,6.7271,False,0.030414
Unchecked-Send,buggy_5.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1049,88,1137,6.2573,False,0.005072
