label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
tx.origin,buggy_1.sol,1,prediction,claude_cli,claude-sonnet-5,4829,37,4866,5.4077,False,0.019682
tx.origin,buggy_1.sol,1,feedback_rule,claude_cli,claude-sonnet-5,790,68,858,5.5063,False,0.00226
tx.origin,buggy_2.sol,1,prediction,claude_cli,claude-sonnet-5,5098,41,5139,4.7359,False,0.020798
tx.origin,buggy_2.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1039,71,1110,4.8569,False,0.004862
tx.origin,buggy_3.sol,1,prediction,claude_cli,claude-sonnet-5,5295,43,5338,4.0962,False,0.021606
tx.origin,buggy_3.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1041,70,1111,4.6781,False,0.00486
tx.origin,buggy_4.sol,1,prediction,claude_cli,claude-sonnet-5,4521,37,4558,4.6577,False,0.01845
tx.origin,buggy_4.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1048,71,1119,3.9574,False,0.004898
tx.origin,buggy_5.sol,1,prediction,claude_cli,claude-sonnet-5,7211,63,7274,4.9394,False,0.02947
tx.origin,buggy_5.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1045,72,1117,5.7004,False,0.004896
tx.origin,buggy_6.sol,1,prediction,claude_cli,claude-sonnet-5,6535,61,6596,4.9207,False,0.026746
tx.origin,buggy_6.sol,2,prediction,claude_cli,claude-sonnet-5,6869,61,6930,4.5745,False,0.028082
tx.origin,buggy_7.sol,1,prediction,claude_cli,claude-sonnet-5,6916,63,6979,4.7584,False,0.02829
tx.origin,buggy_7.sol,2,prediction,claude_cli,claude-sonnet-5,7135,63,7198,4.9542,False,0.029166
tx.origin,buggy_8.sol,1,prediction,claude_cli,claude-sonnet-5,7390,63,7453,4.8983,False,0.030186
tx.origin,buggy_8.sol,2,prediction,claude_cli,claude-sonnet-5,7606,63,7669,5.0139,False,0.03105
tx.origin,buggy_9.sol,1,prediction,claude_cli,claude-sonnet-5,5841,49,5890,5.0682,False,0.02385
tx.origin,buggy_9.sol,2,prediction,claude_cli,claude-sonnet-5,6058,49,6107,12.3929,False,0.024718
tx.origin,buggy_10.sol,1,prediction,claude_cli,claude-sonnet-5,3020,17,3037,3.7472,False,0.012246
tx.origin,buggy_10.sol,2,prediction,claude_cli,claude-sonnet-5,3238,17,3255,3.8531,False,0.013118
tx.origin,buggy_11.sol,1,prediction,claude_cli,claude-sonnet-5,7382,63,7445,4.1915,False,0.030154
tx.origin,buggy_11.sol,2,prediction,claude_cli,claude-sonnet-5,7598,63,7661,3.7449,False,0.031018
tx.origin,buggy_12.sol,1,prediction,claude_cli,claude-sonnet-5,8905,75,8980,4.2103,False,0.036366
tx.origin,buggy_12.sol,2,prediction,claude_cli,claude-sonnet-5,9123,75,9198,5.4631,False,0.037238
tx.origin,buggy_13.sol,1,prediction,claude_cli,claude-sonnet-5,4520,35,4555,4.4765,False,0.018426
tx.origin,buggy_13.sol,2,prediction,claude_cli,claude-sonnet-5,4734,35,4769,4.7817,False,0.019282
tx.origin,buggy_14.sol,1,prediction,claude_cli,claude-sonnet-5,5272,45,5317,4.1329,False,0.021534
tx.origin,buggy_14.sol,2,prediction,claude_cli,claude-sonnet-5,5488,45,5533,3.8578,False,0.022398
tx.origin,buggy_15.sol,1,prediction,claude_cli,claude-sonnet-5,4532,35,4567,4.3579,False,0.018474
tx.origin,buggy_15.sol,2,prediction,claude_cli,claude-sonnet-5,4754,35,4789,4.7114,False,0.019362
tx.origin,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,9955,81,10036,4.2528,False,0.040626
tx.origin,buggy_16.sol,2,prediction,claude_cli,claude-sonnet-5,10176,81,10257,4.2351,False,0.04151
tx.origin,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,7204,61,7265,5.0131,False,0.029422
tx.origin,buggy_17.sol,2,prediction,claude_cli,claude-sonnet-5,7422,61,7483,4.1074,False,0.030294
tx.origin,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,9771,81,9852,6.1944,False,0.03989
tx.origin,buggy_18.sol,2,prediction,claude_cli,claude-sonnet-5,9995,81,10076,4.6974,False,0.040786
tx.origin,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,7015,57,7072,4.411,False,0.028626
tx.origin,buggy_19.sol,2,prediction,claude_cli,claude-sonnet-5,7235,57,7292,4.9414,False,0.029506
tx.origin,buggy_20.sol,1,prediction,claude_cli,claude-sonnet-5,7359,63,7422,4.5618,False,0.030062
tx.origin,buggy_20.sol,2,prediction,claude_cli,claude-sonnet-5,7583,63,7646,4.6255,False,0.030958
tx.origin,buggy_21.sol,1,prediction,claude_cli,claude-sonnet-5,6857,55,6912,4.3861,False,0.027974
tx.origin,buggy_21.sol,2,prediction,claude_cli,claude-sonnet-5,7071,55,7126,5.0648,False,0.02883
tx.origin,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,8632,73,8705,4.833,False,0.035254
tx.origin,buggy_22.sol,2,prediction,claude_cli,claude-sonnet-5,8853,73,8926,5.2021,False,0.036138
tx.origin,buggy_23.sol,1,prediction,claude_cli,claude-sonnet-5,6236,53,6289,4.5045,False,0.02547
tx.origin,buggy_23.sol,2,prediction,claude_cli,claude-sonnet-5,6454,53,6507,6.1138,False,0.026342
tx.origin,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,9988,81,10069,5.0064,False,0.040758
tx.origin,buggy_24.sol,2,prediction,claude_cli,claude-sonnet-5,10210,81,10291,4.4445,False,0.041646
tx.origin,buggy_25.sol,1,prediction,claude_cli,claude-sonnet-5,6764,43,6807,6.3029,False,0.027482
tx.origin,buggy_25.sol,2,prediction,claude_cli,claude-sonnet-5,6984,43,7027,5.1166,False,0.028362
tx.origin,buggy_26.sol,1,prediction,claude_cli,claude-sonnet-5,6002,47,6049,3.8444,False,0.024474
tx.origin,buggy_26.sol,2,prediction,claude_cli,claude-sonnet-5,6221,47,6268,4.3703,False,0.02535
tx.origin,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,9598,81,9679,4.6832,False,0.039198
tx.origin,buggy_27.sol,2,prediction,claude_cli,claude-sonnet-5,9814,81,9895,4.5365,False,0.040062
tx.origin,buggy_28.sol,1,prediction,claude_cli,claude-sonnet-5,7118,59,7177,4.1256,False,0.029058
tx.origin,buggy_28.sol,2,prediction,claude_cli,claude-sonnet-5,7336,59,7395,7.174,False,0.02993
tx.origin,buggy_29.sol,1,prediction,claude_cli,claude-sonnet-5,4850,39,4889,3.875,False,0.019786
