filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,2,3,0.8611111111111112,0.6595744680851063,0.7469879518072289,0.8611111111111112,0.8387096774193549,1.0,0.9122807017543859,0.9758454106280193
buggy_2.sol,warmup,1,3,0.8,0.6355140186915887,0.7083333333333334,0.8,0.7777777777777778,1.0,0.8750000000000001,0.9673469387755103
buggy_3.sol,warmup,3,3,0.8875,0.6120689655172413,0.7244897959183674,0.8875,0.8529411764705882,1.0,0.9206349206349206,0.9807692307692307
buggy_4.sol,warmup,2,3,0.7560975609756098,0.6595744680851063,0.7045454545454545,0.7560975609756098,0.6842105263157895,1.0,0.8125000000000001,0.9457013574660633
buggy_5.sol,warmup,2,3,0.7328767123287672,0.5783783783783784,0.6465256797583082,0.7328767123287672,0.7142857142857143,1.0,0.8333333333333333,0.960352422907489
buggy_6.sol,eval,2,2,1.0,0.5909090909090909,0.7428571428571429,1.0,1.0,1.0,1.0,1.0
buggy_7.sol,eval,2,2,1.0,0.5783783783783784,0.7328767123287672,1.0,1.0,1.0,1.0,1.0
buggy_8.sol,eval,3,3,0.8045112781954887,0.5783783783783784,0.6729559748427674,0.8045112781954887,0.7894736842105263,1.0,0.8823529411764706,0.973568281938326
buggy_9.sol,eval,2,2,1.0,0.5405405405405406,0.7017543859649124,1.0,1.0,1.0,1.0,1.0
buggy_10.sol,eval,2,2,1.0,0.5454545454545454,0.7058823529411764,1.0,1.0,1.0,1.0,1.0
buggy_11.sol,eval,2,2,1.0,0.3181818181818182,0.4827586206896552,1.0,1.0,0.6363636363636364,0.7777777777777778,0.958656330749354
buggy_12.sol,eval,2,2,0.8897058823529411,0.5931372549019608,0.711764705882353,0.8897058823529411,0.9107142857142857,0.9807692307692307,0.9444444444444444,0.9884393063583815
buggy_13.sol,eval,1,3,0.5862068965517241,0.5543478260869565,0.5698324022346367,0.5862068965517241,0.5526315789473685,0.9130434782608695,0.6885245901639344,0.92578125
buggy_14.sol,eval,2,2,1.0,0.578125,0.7326732673267327,1.0,1.0,1.0,1.0,1.0
buggy_15.sol,eval,2,2,0.5862068965517241,0.5543478260869565,0.5698324022346367,0.5862068965517241,0.5526315789473685,0.9130434782608695,0.6885245901639344,0.92578125
buggy_16.sol,eval,2,2,1.0,0.5833333333333334,0.7368421052631579,1.0,1.0,1.0,1.0,1.0
buggy_17.sol,eval,2,3,0.9203539823008849,0.5977011494252874,0.7247386759581881,0.9203539823008849,0.8571428571428571,0.9545454545454546,0.9032258064516128,0.9774436090225563
buggy_18.sol,eval,2,2,0.8974358974358975,0.5932203389830508,0.7142857142857142,0.8974358974358975,0.8939393939393939,0.9833333333333333,0.9365079365079364,0.9880597014925373
buggy_19.sol,eval,2,2,0.9690721649484536,0.5402298850574713,0.6937269372693727,0.9690721649484536,0.9743589743589743,1.0,0.9870129870129869,0.9974747474747475
buggy_20.sol,eval,2,2,1.0,0.5783783783783784,0.7328767123287672,1.0,1.0,1.0,1.0,1.0
buggy_21.sol,eval,2,3,1.0,0.5,0.6666666666666666,1.0,1.0,0.9459459459459459,0.9722222222222222,0.9961759082217974
buggy_22.sol,eval,2,2,0.9538461538461539,0.5821596244131455,0.7230320699708453,0.9538461538461539,0.9629629629629629,1.0,0.9811320754716981,0.9967585089141004
buggy_23.sol,eval,2,2,1.0,0.5714285714285714,0.7272727272727273,1.0,1.0,1.0,1.0,1.0
buggy_24.sol,eval,2,2,1.0,0.5833333333333334,0.7368421052631579,1.0,1.0,1.0,1.0,1.0
buggy_25.sol,eval,2,2,0.9342105263157895,0.5725806451612904,0.7100000000000001,0.9342105263157895,0.9354838709677419,1.0,0.9666666666666666,0.9938271604938271
buggy_26.sol,eval,2,2,0.961038961038961,0.5522388059701493,0.7014218009478673,0.961038961038961,0.967741935483871,1.0,0.9836065573770492,0.9964912280701754
buggy_27.sol,eval,2,2,0.8860759493670886,0.5833333333333334,0.7035175879396985,0.8860759493670886,0.9090909090909091,1.0,0.9523809523809523,0.99
buggy_28.sol,eval,2,2,1.0,0.5274725274725275,0.6906474820143885,1.0,1.0,0.975609756097561,0.9876543209876543,0.9973753280839895
buggy_29.sol,eval,2,2,1.0,0.625,0.7692307692307693,1.0,1.0,1.0,1.0,1.0
buggy_30.sol,eval,2,2,1.0,0.5833333333333334,0.7368421052631579,1.0,1.0,1.0,1.0,1.0
buggy_31.sol,eval,2,2,0.9444444444444444,0.6071428571428571,0.7391304347826088,0.9444444444444444,0.9545454545454546,1.0,0.9767441860465117,0.9967320261437909
buggy_32.sol,eval,2,2,1.0,0.5241935483870968,0.6878306878306878,1.0,1.0,0.9310344827586207,0.9642857142857143,0.9927272727272727
buggy_33.sol,eval,2,2,0.8865979381443299,0.5512820512820513,0.6798418972332017,0.8865979381443299,0.875,1.0,0.9333333333333333,0.9826989619377162
buggy_34.sol,eval,2,3,0.9763779527559056,0.5821596244131455,0.7294117647058823,0.9763779527559056,0.9811320754716981,1.0,0.9904761904761905,0.9985272459499264
buggy_35.sol,eval,2,2,1.0,0.59,0.7421383647798743,1.0,1.0,1.0,1.0,1.0
buggy_36.sol,eval,2,2,0.9538461538461539,0.5821596244131455,0.7230320699708453,0.9538461538461539,0.9629629629629629,1.0,0.9811320754716981,0.9967585089141004
buggy_37.sol,eval,1,3,1.0,0.46,0.6301369863013699,1.0,1.0,0.8,0.888888888888889,0.9775280898876404
buggy_38.sol,eval,2,2,1.0,0.5274725274725275,0.6906474820143885,1.0,1.0,0.975609756097561,0.9876543209876543,0.9973753280839895
buggy_39.sol,eval,2,2,0.8043478260869565,0.578125,0.6727272727272727,0.8043478260869565,0.75,1.0,0.8571428571428571,0.9583333333333334
buggy_40.sol,eval,2,2,1.0,0.5797101449275363,0.7339449541284404,1.0,1.0,1.0,1.0,1.0
buggy_41.sol,eval,1,3,0.6296296296296297,0.5543478260869565,0.5895953757225434,0.6296296296296297,0.5833333333333334,0.9130434782608695,0.7118644067796611,0.9346153846153846
buggy_42.sol,eval,2,2,0.9659090909090909,0.5448717948717948,0.6967213114754098,0.9659090909090909,0.9722222222222222,1.0,0.9859154929577464,0.9965277777777778
buggy_43.sol,eval,2,2,1.0,0.5274725274725275,0.6906474820143885,1.0,1.0,0.975609756097561,0.9876543209876543,0.9978768577494692
buggy_44.sol,eval,2,2,0.9629629629629629,0.5909090909090909,0.732394366197183,0.9629629629629629,0.9565217391304348,1.0,0.9777777777777777,0.9959349593495935
buggy_45.sol,eval,2,2,0.94,0.5402298850574713,0.6861313868613138,0.94,0.95,1.0,0.9743589743589743,0.9940119760479041
buggy_46.sol,eval,3,3,0.9523809523809523,0.5,0.6557377049180327,0.9523809523809523,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9881656804733728
buggy_47.sol,eval,2,2,0.9271523178807947,0.5833333333333334,0.7161125319693095,0.9271523178807947,0.9090909090909091,1.0,0.9523809523809523,0.9876796714579056
buggy_48.sol,eval,3,3,0.8492063492063492,0.5783783783783784,0.6881028938906752,0.8492063492063492,0.8490566037735849,1.0,0.9183673469387755,0.981651376146789
buggy_49.sol,eval,2,2,0.8043478260869565,0.578125,0.6727272727272727,0.8043478260869565,0.75,1.0,0.8571428571428571,0.9583333333333334
buggy_50.sol,eval,2,3,1.0,0.5448717948717948,0.7053941908713693,1.0,1.0,1.0,1.0,1.0
