filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,2,2,1.0,0.8263888888888888,0.9049429657794676,1.0,0.391304347826087,1.0,0.5625,0.8884462151394422
buggy_2.sol,warmup,3,3,1.0,0.4906832298136646,0.6583333333333333,1.0,0.7142857142857143,1.0,0.8333333333333333,0.9726027397260274
buggy_3.sol,warmup,2,3,1.0,0.4235294117647059,0.5950413223140496,1.0,0.84,1.0,0.9130434782608696,0.9869281045751634
buggy_4.sol,warmup,2,3,1.0,0.5694444444444444,0.7256637168141593,1.0,0.5806451612903226,1.0,0.7346938775510204,0.9509433962264151
buggy_5.sol,warmup,2,3,0.9727272727272728,0.4331983805668016,0.5994397759103642,0.9727272727272728,0.775,1.0,0.8732394366197184,0.9820359281437125
buggy_6.sol,eval,3,3,1.0,0.5103734439834025,0.6758241758241758,1.0,0.5882352941176471,1.0,0.7407407407407407,0.9482758620689655
buggy_7.sol,eval,3,3,1.0,0.5020242914979757,0.6684636118598383,1.0,0.6595744680851063,1.0,0.7948717948717948,0.9615384615384616
buggy_8.sol,eval,3,3,0.9727272727272728,0.4331983805668016,0.5994397759103642,0.9727272727272728,0.775,1.0,0.8732394366197184,0.9820359281437125
buggy_9.sol,eval,2,2,1.0,0.3402061855670103,0.5076923076923077,1.0,0.9545454545454546,0.875,0.9130434782608695,0.9910514541387024
buggy_10.sol,eval,2,2,1.0,0.5692307692307692,0.7254901960784313,1.0,0.6153846153846154,1.0,0.761904761904762,0.9537037037037037
buggy_11.sol,eval,3,3,1.0,0.42738589211618255,0.5988372093023255,1.0,0.8108108108108109,1.0,0.8955223880597014,0.9840182648401826
buggy_12.sol,eval,3,3,0.9743589743589743,0.3904109589041096,0.5574572127139364,0.9743589743589743,0.9,0.972972972972973,0.935064935064935,0.9913344887348353
buggy_13.sol,eval,1,3,1.0,0.47761194029850745,0.6464646464646464,1.0,0.7391304347826086,1.0,0.85,0.9798657718120806
buggy_14.sol,eval,1,3,1.0,0.43258426966292135,0.6039215686274509,1.0,0.7777777777777778,0.9545454545454546,0.8571428571428572,0.9809264305177112
buggy_15.sol,eval,2,3,1.0,0.40298507462686567,0.5744680851063829,1.0,0.9444444444444444,1.0,0.9714285714285714,0.9966442953020134
buggy_16.sol,eval,2,2,0.9403973509933775,0.4329268292682927,0.592901878914405,0.9403973509933775,0.7924528301886793,1.0,0.8842105263157896,0.9811643835616438
buggy_17.sol,eval,2,3,0.9927007299270073,0.5690376569037657,0.723404255319149,0.9927007299270073,0.5660377358490566,1.0,0.7228915662650602,0.9488888888888889
buggy_18.sol,eval,2,2,0.9793103448275862,0.4382716049382716,0.605543710021322,0.9793103448275862,0.8235294117647058,1.0,0.9032258064516129,0.9878048780487805
buggy_19.sol,eval,2,2,0.5217391304347826,0.32142857142857145,0.39779005524861877,0.5217391304347826,0.5,0.8214285714285714,0.6216216216216216,0.9372197309417041
buggy_20.sol,eval,2,2,0.941747572815534,0.39271255060728744,0.5542857142857143,0.941747572815534,0.8108108108108109,0.967741935483871,0.8823529411764706,0.9856887298747764
buggy_21.sol,eval,3,3,0.7154471544715447,0.4036697247706422,0.5161290322580645,0.7154471544715447,0.6136363636363636,1.0,0.7605633802816901,0.9702276707530648
buggy_22.sol,eval,3,3,0.9777777777777777,0.4664310954063604,0.6315789473684211,0.9777777777777777,0.64,0.8888888888888888,0.7441860465116279,0.9671641791044776
buggy_23.sol,eval,3,3,1.0,0.44285714285714284,0.6138613861386139,1.0,0.7419354838709677,0.8846153846153846,0.8070175438596492,0.9811643835616438
buggy_24.sol,eval,2,2,0.9259259259259259,0.4573170731707317,0.6122448979591837,0.9259259259259259,0.7,1.0,0.8235294117647058,0.9832558139534884
buggy_25.sol,eval,2,3,0.88,0.5176470588235295,0.6518518518518519,0.88,0.5263157894736842,0.9523809523809523,0.6779661016949152,0.9486486486486486
buggy_26.sol,eval,1,3,1.0,0.40860215053763443,0.5801526717557252,1.0,0.8518518518518519,1.0,0.92,0.987987987987988
buggy_27.sol,eval,3,3,1.0,0.4451219512195122,0.6160337552742616,1.0,0.7777777777777778,1.0,0.8750000000000001,0.9820359281437125
buggy_28.sol,eval,3,3,1.0,0.5043103448275862,0.6704871060171919,1.0,0.6046511627906976,0.896551724137931,0.7222222222222221,0.9535962877030162
buggy_29.sol,eval,2,2,0.9263157894736842,0.5751633986928104,0.7096774193548387,0.9263157894736842,0.48717948717948717,1.0,0.6551724137931034,0.9573560767590619
buggy_30.sol,eval,2,2,1.0,0.4024390243902439,0.5739130434782609,1.0,0.9130434782608695,1.0,0.9545454545454545,0.9961649089165868
buggy_31.sol,eval,3,3,1.0,0.5254237288135594,0.688888888888889,1.0,0.5833333333333334,0.9333333333333333,0.7179487179487181,0.9676470588235294
buggy_32.sol,eval,3,3,1.0,0.5529411764705883,0.7121212121212122,1.0,0.5833333333333334,1.0,0.7368421052631579,0.9532710280373832
buggy_33.sol,eval,1,3,0.9711538461538461,0.5,0.6601307189542484,0.9711538461538461,0.5476190476190477,0.92,0.6865671641791046,0.9373134328358209
