label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Re-entrancy,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,15040,105,15145,6.1746,False,0.061206
Re-entrancy,buggy_37.sol,2,prediction,claude_cli,claude-sonnet-5,15270,113,15383,7.1645,False,0.062206
Re-entrancy,buggy_37.sol,3,prediction,claude_cli,claude-sonnet-5,15272,95,15367,6.522,False,0.062034
Re-entrancy,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,14319,91,14410,6.0002,False,0.058182
Re-entrancy,buggy_38.sol,2,prediction,claude_cli,claude-sonnet-5,14588,61,14649,5.6557,False,0.058958
Re-entrancy,buggy_38.sol,3,prediction,claude_cli,claude-sonnet-5,14590,115,14705,6.7211,False,0.059506
Re-entrancy,buggy_39.sol,1,prediction,claude_cli,claude-sonnet-5,6116,23,6139,6.5296,False,0.02469
Re-entrancy,buggy_39.sol,2,prediction,claude_cli,claude-sonnet-5,6385,19,6404,6.2737,False,0.025726
Re-entrancy,buggy_39.sol,3,prediction,claude_cli,claude-sonnet-5,6385,23,6408,5.1122,False,0.025766
Re-entrancy,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,12489,49,12538,5.399,False,0.050442
Re-entrancy,buggy_40.sol,2,prediction,claude_cli,claude-sonnet-5,12756,45,12801,6.093,False,0.05147
Re-entrancy,buggy_41.sol,1,prediction,claude_cli,claude-sonnet-5,8684,39,8723,6.296,False,0.035122
Re-entrancy,buggy_41.sol,2,prediction,claude_cli,claude-sonnet-5,8952,45,8997,5.4779,False,0.036254
Re-entrancy,buggy_41.sol,3,prediction,claude_cli,claude-sonnet-5,8957,55,9012,6.125,False,0.036374
Re-entrancy,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,13590,77,13667,6.2163,False,0.055126
Re-entrancy,buggy_42.sol,2,prediction,claude_cli,claude-sonnet-5,13861,49,13910,6.1123,False,0.05593
Re-entrancy,buggy_42.sol,3,prediction,claude_cli,claude-sonnet-5,13859,77,13936,5.112,False,0.056202
Re-entrancy,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,13448,67,13515,5.4414,False,0.054458
Re-entrancy,buggy_43.sol,2,prediction,claude_cli,claude-sonnet-5,13714,59,13773,5.4512,False,0.055442
Re-entrancy,buggy_43.sol,3,prediction,claude_cli,claude-sonnet-5,13714,55,13769,5.605,False,0.055402
Re-entrancy,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,13862,89,13951,5.3146,False,0.056334
Re-entrancy,buggy_44.sol,2,prediction,claude_cli,claude-sonnet-5,14138,69,14207,5.2183,False,0.057238
Re-entrancy,buggy_44.sol,3,prediction,claude_cli,claude-sonnet-5,14142,89,14231,5.7856,False,0.057454
Re-entrancy,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,13729,81,13810,5.8317,False,0.055722
Re-entrancy,buggy_45.sol,2,prediction,claude_cli,claude-sonnet-5,14008,71,14079,5.1617,False,0.056738
Re-entrancy,buggy_45.sol,3,prediction,claude_cli,claude-sonnet-5,14007,67,14074,5.751,False,0.056694
Re-entrancy,buggy_46.sol,1,prediction,claude_cli,claude-sonnet-5,4403,19,4422,6.3616,False,0.017798
Re-entrancy,buggy_46.sol,2,prediction,claude_cli,claude-sonnet-5,4678,13,4691,5.891,False,0.018838
Re-entrancy,buggy_46.sol,3,prediction,claude_cli,claude-sonnet-5,4684,25,4709,5.8248,False,0.018982
Re-entrancy,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,14017,91,14108,6.1364,False,0.056974
Re-entrancy,buggy_47.sol,2,prediction,claude_cli,claude-sonnet-5,14297,73,14370,9.1019,False,0.057914
Re-entrancy,buggy_47.sol,3,prediction,claude_cli,claude-sonnet-5,14293,73,14366,5.2733,False,0.057898
Re-entrancy,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,15236,59,15295,5.2706,False,0.06153
Re-entrancy,buggy_48.sol,2,prediction,claude_cli,claude-sonnet-5,15513,57,15570,6.4419,False,0.062618
Re-entrancy,buggy_48.sol,3,prediction,claude_cli,claude-sonnet-5,15514,61,15575,5.3272,False,0.062662
Re-entrancy,buggy_49.sol,1,prediction,claude_cli,claude-sonnet-5,5912,21,5933,5.1027,False,0.023854
Re-entrancy,buggy_49.sol,2,prediction,claude_cli,claude-sonnet-5,6188,33,6221,6.9597,False,0.025078
Re-entrancy,buggy_49.sol,3,prediction,claude_cli,claude-sonnet-5,6188,21,6209,5.9098,False,0.024958
Re-entrancy,buggy_50.sol,1,prediction,claude_cli,claude-sonnet-5,12553,53,12606,5.7579,False,0.050738
Re-entrancy,buggy_50.sol,2,prediction,claude_cli,claude-sonnet-5,12830,55,12885,5.5276,False,0.051866
Re-entrancy,buggy_50.sol,3,prediction,claude_cli,claude-sonnet-5,12830,47,12877,5.666,False,0.051786
