filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,3,0.7857142857142857,0.2972972972972973,0.43137254901960786,0.7857142857142857,1.0,0.7777777777777778,0.8750000000000001,0.979539641943734
buggy_2.sol,warmup,1,3,0.7777777777777778,0.2916666666666667,0.42424242424242425,0.7777777777777778,1.0,0.75,0.8571428571428571,0.9773242630385488
buggy_3.sol,warmup,1,3,0.7741935483870968,0.2891566265060241,0.4210526315789473,0.7741935483870968,1.0,0.7380952380952381,0.8493150684931507,0.9760348583877996
buggy_4.sol,warmup,2,3,0.7857142857142857,0.2972972972972973,0.43137254901960786,0.7857142857142857,1.0,0.7777777777777778,0.8750000000000001,0.980246913580247
buggy_5.sol,warmup,1,3,0.7536231884057971,0.2865013774104683,0.4151696606786427,0.7536231884057971,0.9782608695652174,0.7258064516129032,0.8333333333333333,0.9752407152682255
buggy_6.sol,eval,3,3,0.7727272727272727,0.288135593220339,0.4197530864197531,0.7727272727272727,1.0,0.7333333333333333,0.846153846153846,0.9744
buggy_7.sol,eval,2,2,0.7703703703703704,0.2865013774104683,0.4176706827309237,0.7703703703703704,1.0,0.7258064516129032,0.8411214953271028,0.9735202492211839
buggy_8.sol,eval,3,3,0.7536231884057971,0.2865013774104683,0.4151696606786427,0.7536231884057971,0.9782608695652174,0.7258064516129032,0.8333333333333333,0.9752407152682255
buggy_9.sol,eval,2,2,0.7647058823529411,0.2826086956521739,0.4126984126984127,0.7647058823529411,1.0,0.7083333333333334,0.8292682926829268,0.9772357723577236
buggy_10.sol,eval,2,2,0.7647058823529411,0.30952380952380953,0.4406779661016949,0.7647058823529411,0.8333333333333334,0.625,0.7142857142857143,0.9490445859872612
buggy_11.sol,eval,2,2,0.7536231884057971,0.2865013774104683,0.4151696606786427,0.7536231884057971,0.9782608695652174,0.7258064516129032,0.8333333333333333,0.9731343283582089
buggy_12.sol,eval,2,2,0.7619047619047619,0.37825059101654845,0.5055292259083728,0.7619047619047619,0.6973684210526315,0.7464788732394366,0.7210884353741497,0.9521028037383178
buggy_13.sol,eval,2,2,0.782051282051282,0.2946859903381642,0.4280701754385965,0.782051282051282,1.0,0.7647058823529411,0.8666666666666666,0.9813953488372092
buggy_14.sol,eval,3,3,0.7708333333333334,0.2868217054263566,0.4180790960451978,0.7708333333333334,1.0,0.7272727272727273,0.8421052631578948,0.9771428571428571
buggy_15.sol,eval,3,3,0.782051282051282,0.2946859903381642,0.4280701754385965,0.782051282051282,1.0,0.7647058823529411,0.8666666666666666,0.9813953488372092
buggy_16.sol,eval,2,2,0.7407407407407407,0.2916666666666667,0.4185351270553064,0.7407407407407407,0.9523809523809523,0.75,0.8391608391608391,0.973744292237443
buggy_17.sol,eval,3,3,0.7727272727272727,0.2897727272727273,0.42148760330578516,0.7727272727272727,0.9090909090909091,0.6779661016949152,0.7766990291262135,0.9656203288490284
buggy_18.sol,eval,2,2,0.7540983606557377,0.2929936305732484,0.42201834862385323,0.7540983606557377,0.9672131147540983,0.7468354430379747,0.8428571428571427,0.9786407766990292
buggy_19.sol,eval,3,3,0.8085106382978723,0.2345679012345679,0.3636363636363636,0.8085106382978723,0.9375,0.5357142857142857,0.6818181818181818,0.9566563467492261
buggy_20.sol,eval,2,2,1.0,0.2536997885835095,0.40472175379426645,1.0,1.0,0.6451612903225806,0.7843137254901961,0.9719745222929936
buggy_21.sol,eval,2,2,0.9,0.2660098522167488,0.41064638783269963,0.9,0.9,0.6666666666666666,0.7659574468085106,0.9710144927536232
buggy_22.sol,eval,3,3,0.7592592592592593,0.2887323943661972,0.4183673469387755,0.7592592592592593,0.9814814814814815,0.7361111111111112,0.8412698412698414,0.9787234042553191
buggy_23.sol,eval,2,2,0.9736842105263158,0.2824427480916031,0.4378698224852071,0.9736842105263158,0.9736842105263158,0.7115384615384616,0.8222222222222223,0.9791395045632334
buggy_24.sol,eval,3,3,0.7291666666666666,0.2916666666666667,0.4166666666666667,0.7291666666666666,0.9375,0.75,0.8333333333333334,0.9824433065106072
buggy_25.sol,eval,2,2,0.96875,0.28792569659442724,0.44391408114558467,0.96875,0.96875,0.7380952380952381,0.8378378378378379,0.9770554493307839
buggy_26.sol,eval,2,2,0.9696969696969697,0.2857142857142857,0.44137931034482764,0.9696969696969697,0.9696969696969697,0.6956521739130435,0.810126582278481,0.969758064516129
buggy_27.sol,eval,2,2,0.7777777777777778,0.2916666666666667,0.42424242424242425,0.7777777777777778,1.0,0.75,0.8571428571428571,0.9791666666666666
buggy_28.sol,eval,2,2,1.0,0.27149321266968324,0.42704626334519574,1.0,1.0,0.6896551724137931,0.8163265306122449,0.9719188767550702
buggy_29.sol,eval,2,2,0.9354838709677419,0.29292929292929293,0.4461538461538462,0.9354838709677419,0.9354838709677419,0.7631578947368421,0.8405797101449276,0.9820554649265906
buggy_30.sol,eval,3,3,0.8333333333333334,0.20833333333333334,0.33333333333333337,0.8333333333333334,0.0,0.0,0.0,0.9250936329588015
buggy_31.sol,eval,2,2,1.0,0.28695652173913044,0.44594594594594594,1.0,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.9203539823008849
buggy_32.sol,eval,2,2,1.0,0.28792569659442724,0.4471153846153846,1.0,0.3548387096774194,0.2619047619047619,0.3013698630136986,0.8924050632911392
buggy_33.sol,eval,2,2,0.7477477477477478,0.2852233676975945,0.4129353233830846,0.7477477477477478,0.3783783783783784,0.358974358974359,0.368421052631579,0.9064327485380117
buggy_34.sol,eval,3,3,0.8115183246073299,0.36384976525821594,0.5024311183144247,0.8115183246073299,0.5072463768115942,0.6363636363636364,0.5645161290322581,0.9461077844311377
buggy_35.sol,eval,3,3,0.6467661691542289,0.32338308457711445,0.4311774461028193,0.6467661691542289,0.352112676056338,0.4807692307692308,0.4065040650406504,0.9163802978235968
buggy_36.sol,eval,2,2,0.7592592592592593,0.2887323943661972,0.4183673469387755,0.7592592592592593,0.35185185185185186,0.34545454545454546,0.3486238532110092,0.924468085106383
buggy_37.sol,eval,2,3,0.7564102564102564,0.2871046228710462,0.4162257495590829,0.7564102564102564,0.36538461538461536,0.35185185185185186,0.3584905660377358,0.9109947643979057
buggy_38.sol,eval,3,3,0.8092105263157895,0.36283185840707965,0.5010183299389002,0.8092105263157895,0.5272727272727272,0.6444444444444445,0.58,0.9344773790951638
buggy_39.sol,eval,2,2,1.0,0.2857142857142857,0.4444444444444445,1.0,0.375,0.2727272727272727,0.3157894736842105,0.8839285714285714
buggy_40.sol,eval,2,2,0.7735849056603774,0.2971014492753623,0.4293193717277487,0.7735849056603774,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.9494584837545126
buggy_41.sol,eval,2,2,1.0,0.2932330827067669,0.45348837209302323,1.0,0.3076923076923077,0.23529411764705882,0.26666666666666666,0.8986175115207373
