label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
TOD,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,15267,127,15394,7.4122,False,0.062334
TOD,buggy_16.sol,2,prediction,claude_cli,claude-sonnet-5,15451,127,15578,6.9854,False,0.06307
TOD,buggy_17.sol,1,prediction,claude_cli,claude-sonnet-5,10705,117,10822,6.0876,False,0.043986
TOD,buggy_17.sol,2,prediction,claude_cli,claude-sonnet-5,10915,89,11004,5.753,False,0.044546
TOD,buggy_17.sol,3,prediction,claude_cli,claude-sonnet-5,10950,89,11039,5.1846,False,0.044686
TOD,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,15521,127,15648,8.6719,False,0.06335
TOD,buggy_18.sol,2,prediction,claude_cli,claude-sonnet-5,15700,127,15827,6.9033,False,0.064066
TOD,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,14211,85,14296,6.4543,False,0.05769
TOD,buggy_19.sol,2,prediction,claude_cli,claude-sonnet-5,14421,127,14548,5.7672,False,0.05895
TOD,buggy_19.sol,3,prediction,claude_cli,claude-sonnet-5,14450,65,14515,5.7846,False,0.058446
TOD,buggy_22.sol,1,prediction,claude_cli,claude-sonnet-5,12605,109,12714,6.1632,False,0.051506
TOD,buggy_22.sol,2,prediction,claude_cli,claude-sonnet-5,12788,143,12931,6.9965,False,0.052578
TOD,buggy_22.sol,3,prediction,claude_cli,claude-sonnet-5,12795,109,12904,5.8163,False,0.052266
TOD,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,15702,190,15892,6.6097,False,0.064704
TOD,buggy_24.sol,2,prediction,claude_cli,claude-sonnet-5,15843,141,15984,7.8733,False,0.064778
TOD,buggy_24.sol,3,prediction,claude_cli,claude-sonnet-5,15939,145,16084,5.6126,False,0.065202
TOD,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,14433,119,14552,6.6138,False,0.058918
TOD,buggy_27.sol,2,prediction,claude_cli,claude-sonnet-5,14628,121,14749,7.6061,False,0.059718
TOD,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,13665,109,13774,5.5129,False,0.055746
TOD,buggy_30.sol,2,prediction,claude_cli,claude-sonnet-5,13868,96,13964,6.6279,False,0.056428
TOD,buggy_30.sol,3,prediction,claude_cli,claude-sonnet-5,13908,99,14007,7.8744,False,0.056618
TOD,buggy_33.sol,1,prediction,claude_cli,claude-sonnet-5,9424,73,9497,5.5702,False,0.038422
TOD,buggy_33.sol,2,prediction,claude_cli,claude-sonnet-5,9618,75,9693,7.2953,False,0.039218
TOD,buggy_34.sol,1,prediction,claude_cli,claude-sonnet-5,12434,142,12576,6.4224,False,0.051152
TOD,buggy_34.sol,2,prediction,claude_cli,claude-sonnet-5,12578,78,12656,6.5327,False,0.051088
TOD,buggy_34.sol,3,prediction,claude_cli,claude-sonnet-5,12681,140,12821,7.6711,False,0.05212
TOD,buggy_35.sol,1,prediction,claude_cli,claude-sonnet-5,17880,139,18019,9.6686,False,0.072906
TOD,buggy_35.sol,2,prediction,claude_cli,claude-sonnet-5,18079,153,18232,6.9443,False,0.073842
TOD,buggy_35.sol,3,prediction,claude_cli,claude-sonnet-5,18127,143,18270,7.1376,False,0.073934
TOD,buggy_36.sol,1,prediction,claude_cli,claude-sonnet-5,12650,107,12757,7.0917,False,0.051666
TOD,buggy_36.sol,2,prediction,claude_cli,claude-sonnet-5,12845,109,12954,5.5102,False,0.052466
TOD,buggy_37.sol,1,prediction,claude_cli,claude-sonnet-5,12300,91,12391,5.7887,False,0.050106
TOD,buggy_37.sol,2,prediction,claude_cli,claude-sonnet-5,12510,105,12615,5.3259,False,0.051086
TOD,buggy_37.sol,3,prediction,claude_cli,claude-sonnet-5,12536,99,12635,7.1172,False,0.05113
TOD,buggy_38.sol,1,prediction,claude_cli,claude-sonnet-5,10411,85,10496,5.7911,False,0.04249
TOD,buggy_38.sol,2,prediction,claude_cli,claude-sonnet-5,10595,111,10706,7.8987,False,0.043486
TOD,buggy_38.sol,3,prediction,claude_cli,claude-sonnet-5,10604,111,10715,6.1085,False,0.043522
TOD,buggy_40.sol,1,prediction,claude_cli,claude-sonnet-5,8560,67,8627,6.8419,False,0.034906
TOD,buggy_40.sol,2,prediction,claude_cli,claude-sonnet-5,8827,73,8900,5.4266,False,0.036034
TOD,buggy_42.sol,1,prediction,claude_cli,claude-sonnet-5,9342,87,9429,5.2407,False,0.038234
TOD,buggy_42.sol,2,prediction,claude_cli,claude-sonnet-5,9542,95,9637,6.0923,False,0.039114
TOD,buggy_42.sol,3,prediction,claude_cli,claude-sonnet-5,9582,75,9657,7.662,False,0.039074
TOD,buggy_43.sol,1,prediction,claude_cli,claude-sonnet-5,9808,111,9919,5.1258,False,0.040338
TOD,buggy_43.sol,2,prediction,claude_cli,claude-sonnet-5,9955,85,10040,6.4493,False,0.040666
TOD,buggy_43.sol,3,prediction,claude_cli,claude-sonnet-5,10041,111,10152,6.4358,False,0.04127
TOD,buggy_44.sol,1,prediction,claude_cli,claude-sonnet-5,10255,81,10336,6.04,False,0.041826
TOD,buggy_44.sol,2,prediction,claude_cli,claude-sonnet-5,10492,91,10583,5.5483,False,0.042874
TOD,buggy_44.sol,3,prediction,claude_cli,claude-sonnet-5,10519,117,10636,6.9233,False,0.043242
TOD,buggy_45.sol,1,prediction,claude_cli,claude-sonnet-5,10005,83,10088,7.9234,False,0.040846
TOD,buggy_45.sol,2,prediction,claude_cli,claude-sonnet-5,10227,105,10332,5.2079,False,0.041954
TOD,buggy_45.sol,3,prediction,claude_cli,claude-sonnet-5,10274,83,10357,9.1499,False,0.041922
TOD,buggy_47.sol,1,prediction,claude_cli,claude-sonnet-5,14324,127,14451,7.3048,False,0.058562
TOD,buggy_47.sol,2,prediction,claude_cli,claude-sonnet-5,14536,123,14659,5.9674,False,0.05937
TOD,buggy_47.sol,3,prediction,claude_cli,claude-sonnet-5,14562,125,14687,6.6236,False,0.059494
TOD,buggy_48.sol,1,prediction,claude_cli,claude-sonnet-5,11582,97,11679,6.9024,False,0.047294
TOD,buggy_48.sol,2,prediction,claude_cli,claude-sonnet-5,11773,93,11866,5.9888,False,0.048018
TOD,buggy_48.sol,3,prediction,claude_cli,claude-sonnet-5,11834,97,11931,9.1523,False,0.048302
