label,contract,attempt,call_type,provider,model,prompt_tokens,completion_tokens,total_tokens,elapsed_s,is_fallback,est_cost_usd
Unhandled-Exceptions,buggy_1.sol,1,prediction,claude_cli,claude-sonnet-5,4625,37,4662,5.2429,False,0.018866
Unhandled-Exceptions,buggy_1.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1042,50,1092,11.0338,False,0.004664
Unhandled-Exceptions,buggy_1.sol,2,prediction,claude_cli,claude-sonnet-5,7588,37,7625,7.0886,False,0.030718
Unhandled-Exceptions,buggy_1.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1043,52,1095,7.3539,False,0.004688
Unhandled-Exceptions,buggy_1.sol,3,prediction,claude_cli,claude-sonnet-5,7583,37,7620,6.8773,False,0.030698
Unhandled-Exceptions,buggy_1.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1039,49,1088,6.5907,False,0.004642
Unhandled-Exceptions,buggy_2.sol,1,prediction,claude_cli,claude-sonnet-5,4824,41,4865,5.1521,False,0.019702
Unhandled-Exceptions,buggy_2.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1279,47,1326,5.6714,False,0.005582
Unhandled-Exceptions,buggy_2.sol,2,prediction,claude_cli,claude-sonnet-5,8039,41,8080,5.727,False,0.032562
Unhandled-Exceptions,buggy_2.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1281,62,1343,4.9667,False,0.00574
Unhandled-Exceptions,buggy_2.sol,3,prediction,claude_cli,claude-sonnet-5,8058,41,8099,4.6664,False,0.032638
Unhandled-Exceptions,buggy_2.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1276,55,1331,6.7932,False,0.00565
Unhandled-Exceptions,buggy_3.sol,1,prediction,claude_cli,claude-sonnet-5,4962,43,5005,6.6294,False,0.020274
Unhandled-Exceptions,buggy_3.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1276,52,1328,6.6707,False,0.00562
Unhandled-Exceptions,buggy_3.sol,2,prediction,claude_cli,claude-sonnet-5,8171,43,8214,4.7785,False,0.03311
Unhandled-Exceptions,buggy_3.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1283,56,1339,9.5355,False,0.005688
Unhandled-Exceptions,buggy_3.sol,3,prediction,claude_cli,claude-sonnet-5,8170,43,8213,5.4468,False,0.033106
Unhandled-Exceptions,buggy_3.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1278,53,1331,5.2212,False,0.005638
Unhandled-Exceptions,buggy_4.sol,1,prediction,claude_cli,claude-sonnet-5,4278,37,4315,5.9085,False,0.017478
Unhandled-Exceptions,buggy_4.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1276,64,1340,6.6747,False,0.00574
Unhandled-Exceptions,buggy_4.sol,2,prediction,claude_cli,claude-sonnet-5,6991,37,7028,6.0441,False,0.02833
Unhandled-Exceptions,buggy_4.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1280,54,1334,7.0625,False,0.005656
Unhandled-Exceptions,buggy_4.sol,3,prediction,claude_cli,claude-sonnet-5,6974,37,7011,5.7852,False,0.028262
Unhandled-Exceptions,buggy_4.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1278,53,1331,6.4038,False,0.005638
Unhandled-Exceptions,buggy_5.sol,1,prediction,claude_cli,claude-sonnet-5,7085,61,7146,5.7193,False,0.028946
Unhandled-Exceptions,buggy_5.sol,1,feedback_rule,claude_cli,claude-sonnet-5,1313,81,1394,5.7342,False,0.006058
Unhandled-Exceptions,buggy_5.sol,2,prediction,claude_cli,claude-sonnet-5,9783,59,9842,7.1642,False,0.039718
Unhandled-Exceptions,buggy_5.sol,2,feedback_rule,claude_cli,claude-sonnet-5,1316,59,1375,6.5462,False,0.00585
Unhandled-Exceptions,buggy_5.sol,3,prediction,claude_cli,claude-sonnet-5,9767,61,9828,5.7709,False,0.039674
Unhandled-Exceptions,buggy_5.sol,3,feedback_rule,claude_cli,claude-sonnet-5,1320,67,1387,5.2931,False,0.005946
Unhandled-Exceptions,buggy_16.sol,1,prediction,claude_cli,claude-sonnet-5,9974,91,10065,6.8352,False,0.040802
Unhandled-Exceptions,buggy_16.sol,2,prediction,claude_cli,claude-sonnet-5,10305,91,10396,5.7499,False,0.042126
Unhandled-Exceptions,buggy_18.sol,1,prediction,claude_cli,claude-sonnet-5,10878,95,10973,5.7487,False,0.044458
Unhandled-Exceptions,buggy_18.sol,2,prediction,claude_cli,claude-sonnet-5,11140,97,11237,5.6072,False,0.045526
Unhandled-Exceptions,buggy_19.sol,1,prediction,claude_cli,claude-sonnet-5,10829,103,10932,6.1895,False,0.044342
Unhandled-Exceptions,buggy_19.sol,2,prediction,claude_cli,claude-sonnet-5,10977,57,11034,5.6985,False,0.044474
Unhandled-Exceptions,buggy_19.sol,3,prediction,claude_cli,claude-sonnet-5,11063,103,11166,5.7829,False,0.045278
Unhandled-Exceptions,buggy_24.sol,1,prediction,claude_cli,claude-sonnet-5,11926,93,12019,8.1727,False,0.04863
Unhandled-Exceptions,buggy_24.sol,2,prediction,claude_cli,claude-sonnet-5,12166,105,12271,6.6621,False,0.04971
Unhandled-Exceptions,buggy_24.sol,3,prediction,claude_cli,claude-sonnet-5,12166,105,12271,12.37,False,0.04971
Unhandled-Exceptions,buggy_27.sol,1,prediction,claude_cli,claude-sonnet-5,10428,95,10523,6.3132,False,0.042658
Unhandled-Exceptions,buggy_27.sol,2,prediction,claude_cli,claude-sonnet-5,10631,95,10726,5.5867,False,0.04347
Unhandled-Exceptions,buggy_30.sol,1,prediction,claude_cli,claude-sonnet-5,9566,97,9663,6.8733,False,0.03923
Unhandled-Exceptions,buggy_30.sol,2,prediction,claude_cli,claude-sonnet-5,9776,97,9873,5.8741,False,0.04007
